MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,READcode,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,VF
41530,Malignant neoplasm of other sites of tongue,,,B01y.00,,,,,,,,
40557,Malignant neoplasm of tongue NOS,,,B01z.00,,,,,,,,
20292,Malignant neoplasm of major salivary glands,,,B02..00,,,,,,,,
4388,Malignant neoplasm of parotid gland,,,B020.00,,,,,,,,
51786,Malignant neoplasm of submandibular gland,,,B021.00,,,,,,,,
70928,Malignant neoplasm of sublingual gland,,,B022.00,,,,,,,,
70696,Malignant neoplasm of other major salivary glands,,,B02y.00,,,,,,,,
50475,Malignant neoplasm of major salivary gland NOS,,,B02z.00,,,,,,,,
43400,Malignant neoplasm of gum,,,B03..00,,,,,,,,
32024,Malignant neoplasm of upper gum,,,B030.00,,,,,,,,
49360,Malignant neoplasm of lower gum,,,B031.00,,,,,,,,
101753,Malignant neoplasm of other sites of gum,,,B03y.00,,,,,,,,
93218,Malignant neoplasm of gum NOS,,,B03z.00,,,,,,,,
20092,Malignant neoplasm of floor of mouth,,,B04..00,,,,,,,,
45408,Malignant neoplasm of anterior portion of floor of mouth,,,B040.00,,,,,,,,
45986,Malignant neoplasm of lateral portion of floor of mouth,,,B041.00,,,,,,,,
17912,"Malignant neoplasm, overlapping lesion of floor of mouth",,,B042.00,,,,,,,,
56709,Malignant neoplasm of other sites of floor of mouth,,,B04y.00,,,,,,,,
36716,Malignant neoplasm of floor of mouth NOS,,,B04z.00,,,,,,,,
14792,Malignant neoplasm of other and unspecified parts of mouth,,,B05..00,,,,,,,,
31364,Malignant neoplasm of cheek mucosa,,,B050.00,,,,,,,,
30402,Malignant neoplasm of buccal mucosa,,,B050.11,,,,,,,,
103796,Malignant neoplasm of vestibule of mouth,,,B051.00,,,,,,,,
95772,Malignant neoplasm of upper buccal sulcus,,,B051000,,,,,,,,
97530,Malignant neoplasm of lower buccal sulcus,,,B051100,,,,,,,,
37590,Malignant neoplasm of hard palate,,,B052.00,,,,,,,,
40292,Malignant neoplasm of soft palate,,,B053.00,,,,,,,,
37516,Malignant neoplasm of uvula,,,B054.00,,,,,,,,
70819,Malignant neoplasm of palate unspecified,,,B055.00,,,,,,,,
96003,Malignant neoplasm of junction of hard and soft palate,,,B055000,,,,,,,,
69951,Malignant neoplasm of roof of mouth,,,B055100,,,,,,,,
28559,Malignant neoplasm of palate NOS,,,B055z00,,,,,,,,
37724,Malignant neoplasm of retromolar area,,,B056.00,,,,,,,,
10314,Overlapping lesion of other and unspecified parts of mouth,,,B057.00,,,,,,,,
37916,Malignant neoplasm of other specified mouth parts,,,B05y.00,,,,,,,,
55015,Malignant neoplasm of mouth NOS,,,B05z.00,,,,,,,,
37549,Kaposi's sarcoma of palate,,,B05z000,,,,,,,,
22893,Malignant neoplasm of oropharynx,,,B06..00,,,,,,,,
16241,Malignant neoplasm of tonsil,,,B060.00,,,,,,,,
26448,Malignant neoplasm of faucial tonsil,,,B060000,,,,,,,,
101988,Malignant neoplasm of palatine tonsil,,,B060100,,,,,,,,
102151,Malignant neoplasm of overlapping lesion of tonsil,,,B060200,,,,,,,,
53884,Malignant neoplasm tonsil NOS,,,B060z00,,,,,,,,
24397,Malignant neoplasm of tonsillar fossa,,,B061.00,,,,,,,,
55066,Malignant neoplasm of tonsillar pillar,,,B062.00,,,,,,,,
51926,Malignant neoplasm of faucial pillar,,,B062000,,,,,,,,
99185,Malignant neoplasm of glossopalatine fold,,,B062100,,,,,,,,
61510,Malignant neoplasm of palatoglossal arch,,,B062200,,,,,,,,
93842,Malignant neoplasm of palatopharyngeal arch,,,B062300,,,,,,,,
100002,Malignant neoplasm of tonsillar fossa NOS,,,B062z00,,,,,,,,
39554,Malignant neoplasm of vallecula,,,B063.00,,,,,,,,
46728,Malignant neoplasm of anterior epiglottis,,,B064.00,,,,,,,,
26134,"Malignant neoplasm of epiglottis, free border",,,B064000,,,,,,,,
91895,Malignant neoplasm of glossoepiglottic fold,,,B064100,,,,,,,,
73439,Malignant neoplasm of anterior epiglottis NOS,,,B064z00,,,,,,,,
48519,Malignant neoplasm of junctional region of epiglottis,,,B065.00,,,,,,,,
56355,Malignant neoplasm of lateral wall of oropharynx,,,B066.00,,,,,,,,
90124,Malignant neoplasm of posterior wall of oropharynx,,,B067.00,,,,,,,,
67323,"Malignant neoplasm of oropharynx, other specified sites",,,B06y.00,,,,,,,,
91037,Malignant neoplasm of other specified site of oropharynx NOS,,,B06yz00,,,,,,,,
43200,Malignant neoplasm of oropharynx NOS,,,B06z.00,,,,,,,,
24675,Malignant neoplasm of nasopharynx,,,B07..00,,,,,,,,
94390,Malignant neoplasm of roof of nasopharynx,,,B070.00,,,,,,,,
95429,Malignant neoplasm of posterior wall of nasopharynx,,,B071.00,,,,,,,,
33388,Malignant neoplasm of adenoid,,,B071000,,,,,,,,
46548,Malignant neoplasm of pharyngeal tonsil,,,B071100,,,,,,,,
96869,Malignant neoplasm of posterior wall of nasopharynx NOS,,,B071z00,,,,,,,,
59004,Malignant neoplasm of lateral wall of nasopharynx,,,B072.00,,,,,,,,
37940,Malignant neoplasm of pharyngeal recess,,,B072000,,,,,,,,
102205,Malignant neoplasm of lateral wall of nasopharynx NOS,,,B072z00,,,,,,,,
44139,Malignant neoplasm of anterior wall of nasopharynx,,,B073.00,,,,,,,,
99386,Malignant neoplasm posterior margin nasal septum and choanae,,,B073200,,,,,,,,
100918,Malignant neoplasm of anterior wall of nasopharynx NOS,,,B073z00,,,,,,,,
66422,"Malignant neoplasm, overlapping lesion of nasopharynx",,,B074.00,,,,,,,,
55630,Malignant neoplasm of other specified site of nasopharynx,,,B07y.00,,,,,,,,
28665,Malignant neoplasm of nasopharynx NOS,,,B07z.00,,,,,,,,
34012,Malignant neoplasm of hypopharynx,,,B08..00,,,,,,,,
43548,Malignant neoplasm of postcricoid region,,,B080.00,,,,,,,,
39897,Malignant neoplasm of pyriform sinus,,,B081.00,,,,,,,,
57248,"Malignant neoplasm aryepiglottic fold, hypopharyngeal aspect",,,B082.00,,,,,,,,
64462,Malignant neoplasm of posterior pharynx,,,B083.00,,,,,,,,
88362,Malignant neoplasm of other specified hypopharyngeal site,,,B08y.00,,,,,,,,
28451,Malignant neoplasm of hypopharynx NOS,,,B08z.00,,,,,,,,
46114,"Malig neop other/ill-defined sites lip, oral cavity, pharynx",,,B0z..00,,,,,,,,
16297,Malignant neoplasm of pharynx unspecified,,,B0z0.00,,,,,,,,
95016,Malignant neoplasm of Waldeyer's ring,,,B0z1.00,,,,,,,,
39084,Malignant neoplasm of laryngopharynx,,,B0z2.00,,,,,,,,
49758,"Malignant neoplasm of other sites lip, oral cavity, pharynx",,,B0zy.00,,,,,,,,
39430,"Malignant neoplasm of lip, oral cavity and pharynx NOS",,,B0zz.00,,,,,,,,
15709,Malignant neoplasm of digestive organs and peritoneum,,,B1...00,,,,,,,,
3357,Carcinoma of digestive organs and peritoneum,,,B1...11,,,,,,,,
1062,Malignant neoplasm of oesophagus,,,B10..00,,,,,,,,
61695,Malignant neoplasm of cervical oesophagus,,,B100.00,,,,,,,,
41362,Malignant neoplasm of thoracic oesophagus,,,B101.00,,,,,,,,
63470,Malignant neoplasm of abdominal oesophagus,,,B102.00,,,,,,,,
50789,Malignant neoplasm of upper third of oesophagus,,,B103.00,,,,,,,,
54171,Malignant neoplasm of middle third of oesophagus,,,B104.00,,,,,,,,
42416,Malignant neoplasm of lower third of oesophagus,,,B105.00,,,,,,,,
67497,"Malignant neoplasm, overlapping lesion of oesophagus",,,B106.00,,,,,,,,
98142,Siewert type I adenocarcinoma,,,B107.00,,,,,,,,
53591,Malignant neoplasm of other specified part of oesophagus,,,B10y.00,,,,,,,,
30700,Malignant neoplasm of oesophagus NOS,,,B10z.00,,,,,,,,
4865,Oesophageal cancer,,,B10z.11,,,,,,,,
8386,Malignant neoplasm of stomach,,,B11..00,,,,,,,,
10368,Gastric neoplasm,,,B11..11,,,,,,,,
32022,Malignant neoplasm of cardia of stomach,,,B110.00,,,,,,,,
100584,Malignant neoplasm of cardiac orifice of stomach,,,B110000,,,,,,,,
22894,Malignant neoplasm of cardio-oesophageal junction of stomach,,,B110100,,,,,,,,
94278,Malignant neoplasm of gastro-oesophageal junction,,,B110111,,,,,,,,
37859,Malignant neoplasm of cardia of stomach NOS,,,B110z00,,,,,,,,
21620,Malignant neoplasm of pylorus of stomach,,,B111.00,,,,,,,,
48237,Malignant neoplasm of prepylorus of stomach,,,B111000,,,,,,,,
41215,Malignant neoplasm of pyloric canal of stomach,,,B111100,,,,,,,,
59092,Malignant neoplasm of pylorus of stomach NOS,,,B111z00,,,,,,,,
19318,Malignant neoplasm of pyloric antrum of stomach,,,B112.00,,,,,,,,
32362,Malignant neoplasm of fundus of stomach,,,B113.00,,,,,,,,
43572,Malignant neoplasm of body of stomach,,,B114.00,,,,,,,,
42193,Malignant neoplasm of lesser curve of stomach unspecified,,,B115.00,,,,,,,,
55434,Malignant neoplasm of greater curve of stomach unspecified,,,B116.00,,,,,,,,
51690,"Malignant neoplasm, overlapping lesion of stomach",,,B117.00,,,,,,,,
97499,Siewert type II adenocarcinoma,,,B118.00,,,,,,,,
96094,Siewert type III adenocarcinoma,,,B119.00,,,,,,,,
55019,Malignant neoplasm of other specified site of stomach,,,B11y.00,,,,,,,,
65312,Malignant neoplasm of anterior wall of stomach NEC,,,B11y000,,,,,,,,
96802,Malignant neoplasm of posterior wall of stomach NEC,,,B11y100,,,,,,,,
65372,Malignant neoplasm of other specified site of stomach NOS,,,B11yz00,,,,,,,,
14800,Malignant neoplasm of stomach NOS,,,B11z.00,,,,,,,,
6806,Malignant neoplasm of small intestine and duodenum,,,B12..00,,,,,,,,
18613,Malignant neoplasm of duodenum,,,B120.00,,,,,,,,
43479,Malignant neoplasm of jejunum,,,B121.00,,,,,,,,
33871,Malignant neoplasm of ileum,,,B122.00,,,,,,,,
63995,Malignant neoplasm of Meckel's diverticulum,,,B123.00,,,,,,,,
66166,"Malignant neoplasm, overlapping lesion of small intestine",,,B124.00,,,,,,,,
99896,Malignant neoplasm of other specified site small intestine,,,B12y.00,,,,,,,,
43390,Malignant neoplasm of small intestine NOS,,,B12z.00,,,,,,,,
1220,Malignant neoplasm of colon,,,B13..00,,,,,,,,
9088,Malignant neoplasm of hepatic flexure of colon,,,B130.00,,,,,,,,
6935,Malignant neoplasm of transverse colon,,,B131.00,,,,,,,,
10864,Malignant neoplasm of descending colon,,,B132.00,,,,,,,,
2815,Malignant neoplasm of sigmoid colon,,,B133.00,,,,,,,,
3811,Malignant neoplasm of caecum,,,B134.00,,,,,,,,
22163,Carcinoma of caecum,,,B134.11,,,,,,,,
18632,Malignant neoplasm of appendix,,,B135.00,,,,,,,,
10946,Malignant neoplasm of ascending colon,,,B136.00,,,,,,,,
18619,Malignant neoplasm of splenic flexure of colon,,,B137.00,,,,,,,,
93478,"Malignant neoplasm, overlapping lesion of colon",,,B138.00,,,,,,,,
101700,Hereditary nonpolyposis colon cancer,,,B139.00,,,,,,,,
48231,Malignant neoplasm of other specified sites of colon,,,B13y.00,,,,,,,,
28163,Malignant neoplasm of colon NOS,,,B13z.00,,,,,,,,
9118,Colonic cancer,,,B13z.11,,,,,,,,
35357,"Malignant neoplasm of rectum, rectosigmoid junction and anus",,,B14..00,,,,,,,,
27855,Malignant neoplasm of rectosigmoid junction,,,B140.00,,,,,,,,
1800,Malignant neoplasm of rectum,,,B141.00,,,,,,,,
7219,Carcinoma of rectum,,,B141.11,,,,,,,,
5901,Rectal carcinoma,,,B141.12,,,,,,,,
24370,Malignant neoplasm of anal canal,,,B142.00,,,,,,,,
9491,Anal carcinoma,,,B142.11,,,,,,,,
46159,Malignant neoplasm of cloacogenic zone,,,B142000,,,,,,,,
27897,Malignant neoplasm of anus unspecified,,,B143.00,,,,,,,,
55659,"Malig neop other site rectum, rectosigmoid junction and anus",,,B14y.00,,,,,,,,
50974,"Malignant neoplasm rectum,rectosigmoid junction and anus NOS",,,B14z.00,,,,,,,,
8918,Malignant neoplasm of liver and intrahepatic bile ducts,,,B15..00,,,,,,,,
25535,Primary malignant neoplasm of liver,,,B150.00,,,,,,,,
16126,Primary carcinoma of liver,,,B150000,,,,,,,,
31210,Hepatoblastoma of liver,,,B150100,,,,,,,,
68410,Primary angiosarcoma of liver,,,B150200,,,,,,,,
22187,Hepatocellular carcinoma,,,B150300,,,,,,,,
44399,Primary malignant neoplasm of liver NOS,,,B150z00,,,,,,,,
16915,Malignant neoplasm of intrahepatic bile ducts,,,B151.00,,,,,,,,
65124,Malignant neoplasm of interlobular bile ducts,,,B151000,,,,,,,,
89593,Malignant neoplasm of intrahepatic biliary passages,,,B151200,,,,,,,,
58088,Malignant neoplasm of intrahepatic gall duct,,,B151400,,,,,,,,
61643,Malignant neoplasm of intrahepatic bile ducts NOS,,,B151z00,,,,,,,,
26393,Malignant neoplasm of liver unspecified,,,B152.00,,,,,,,,
36147,Secondary malignant neoplasm of liver,,,B153.00,,,,,,,,
38978,Malignant neoplasm of liver and intrahepatic bile ducts NOS,,,B15z.00,,,,,,,,
54103,Malignant neoplasm gallbladder and extrahepatic bile ducts,,,B16..00,,,,,,,,
16105,Malignant neoplasm of gallbladder,,,B160.00,,,,,,,,
31393,Carcinoma gallbladder,,,B160.11,,,,,,,,
23433,Malignant neoplasm of extrahepatic bile ducts,,,B161.00,,,,,,,,
72445,Malignant neoplasm of cystic duct,,,B161000,,,,,,,,
52537,Malignant neoplasm of hepatic duct,,,B161100,,,,,,,,
7982,Malignant neoplasm of common bile duct,,,B161200,,,,,,,,
36495,Carcinoma common bile duct,,,B161211,,,,,,,,
74896,Malignant neoplasm of extrahepatic bile ducts NOS,,,B161z00,,,,,,,,
10949,Malignant neoplasm of ampulla of Vater,,,B162.00,,,,,,,,
35039,"Malignant neoplasm, overlapping lesion of biliary tract",,,B163.00,,,,,,,,
60312,Malignant neoplasm other gallbladder/extrahepatic bile duct,,,B16y.00,,,,,,,,
15907,Malignant neoplasm gallbladder/extrahepatic bile ducts NOS,,,B16z.00,,,,,,,,
8166,Malignant neoplasm of pancreas,,,B17..00,,,,,,,,
8771,Malignant neoplasm of head of pancreas,,,B170.00,,,,,,,,
40810,Malignant neoplasm of body of pancreas,,,B171.00,,,,,,,,
39870,Malignant neoplasm of tail of pancreas,,,B172.00,,,,,,,,
35535,Malignant neoplasm of pancreatic duct,,,B173.00,,,,,,,,
35795,Malignant neoplasm of Islets of Langerhans,,,B174.00,,,,,,,,
97875,"Malignant neoplasm, overlapping lesion of pancreas",,,B175.00,,,,,,,,
48537,Malignant neoplasm of other specified sites of pancreas,,,B17y.00,,,,,,,,
96635,Malignant neoplasm of ectopic pancreatic tissue,,,B17y000,,,,,,,,
95783,Malignant neoplasm of specified site of pancreas NOS,,,B17yz00,,,,,,,,
34388,Malignant neoplasm of pancreas NOS,,,B17z.00,,,,,,,,
44108,Malignant neoplasm of retroperitoneum and peritoneum,,,B18..00,,,,,,,,
21330,Malignant neoplasm of retroperitoneum,,,B180.00,,,,,,,,
65159,Malignant neoplasm of perinephric tissue,,,B180100,,,,,,,,
24048,Malignant neoplasm of retrocaecal tissue,,,B180200,,,,,,,,
61555,Malignant neoplasm of retroperitoneum NOS,,,B180z00,,,,,,,,
17874,Mesothelioma of peritoneum,,,B181.00,,,,,,,,
101907,Overlapping malign lesion of retroperitoneum and peritoneum,,,B182.00,,,,,,,,
46613,Malignant neoplasm of specified parts of peritoneum,,,B18y.00,,,,,,,,
59388,Malignant neoplasm of mesocaecum,,,B18y100,,,,,,,,
30165,Malignant neoplasm of mesorectum,,,B18y200,,,,,,,,
50898,Malignant neoplasm of omentum,,,B18y300,,,,,,,,
64516,Malignant neoplasm of parietal peritoneum,,,B18y400,,,,,,,,
39413,Malignant neoplasm of pelvic peritoneum,,,B18y500,,,,,,,,
69821,Malignant neoplasm of the pouch of Douglas,,,B18y600,,,,,,,,
90290,Malignant neoplasm of mesentery,,,B18y700,,,,,,,,
64106,Malignant neoplasm of specified parts of peritoneum NOS,,,B18yz00,,,,,,,,
16298,Malignant neoplasm of retroperitoneum and peritoneum NOS,,,B18z.00,,,,,,,,
11009,Malig neop oth/ill-defined sites digestive tract/peritoneum,,,B1z..00,,,,,,,,
17559,"Malignant neoplasm of intestinal tract, part unspecified",,,B1z0.00,,,,,,,,
11628,Cancer of bowel,,,B1z0.11,,,,,,,,
65460,Malignant neoplasm of spleen NEC,,,B1z1.00,,,,,,,,
72224,Fibrosarcoma of spleen,,,B1z1100,,,,,,,,
93778,Malignant neoplasm of spleen NOS,,,B1z1z00,,,,,,,,
94776,"Malignant neoplasm, overlapping lesion of digestive system",,,B1z2.00,,,,,,,,
56918,Malignant neoplasm other spec digestive tract and peritoneum,,,B1zy.00,,,,,,,,
51255,Malignant neoplasm of digestive tract and peritoneum NOS,,,B1zz.00,,,,,,,,
34075,Malig neop of respiratory tract and intrathoracic organs,,,B2...00,,,,,,,,
45307,Carcinoma of respiratory tract and intrathoracic organs,,,B2...11,,,,,,,,
26652,"Malig neop nasal cavities, middle ear and accessory sinuses",,,B20..00,,,,,,,,
23389,Malignant neoplasm of nasal cavities,,,B200.00,,,,,,,,
71204,Malignant neoplasm of cartilage of nose,,,B200000,,,,,,,,
98911,Malignant neoplasm of nasal conchae,,,B200100,,,,,,,,
62761,Malignant neoplasm of septum of nose,,,B200200,,,,,,,,
62182,Malignant neoplasm of vestibule of nose,,,B200300,,,,,,,,
42856,Malignant neoplasm of nasal cavities NOS,,,B200z00,,,,,,,,
24456,"Malig neop auditory tube, middle ear and mastoid air cells",,,B201.00,,,,,,,,
98537,Malignant neoplasm of tympanic cavity,,,B201100,,,,,,,,
54613,Malignant neoplasm of tympanic antrum,,,B201200,,,,,,,,
71946,Malignant neoplasm of mastoid air cells,,,B201300,,,,,,,,
73537,"Malig neop auditory tube, middle ear, mastoid air cells NOS",,,B201z00,,,,,,,,
32174,Malignant neoplasm of maxillary sinus,,,B202.00,,,,,,,,
54636,Malignant neoplasm of ethmoid sinus,,,B203.00,,,,,,,,
15684,Malignant neoplasm of frontal sinus,,,B204.00,,,,,,,,
65215,Malignant neoplasm of sphenoidal sinus,,,B205.00,,,,,,,,
39590,"Malignant neoplasm, overlapping lesion of accessory sinuses",,,B206.00,,,,,,,,
96971,"Malig neop other site nasal cavity, middle ear and sinuses",,,B20y.00,,,,,,,,
55246,Malignant neoplasm of accessory sinus NOS,,,B20z.00,,,,,,,,
319,Malignant neoplasm of larynx,,,B21..00,,,,,,,,
318,Malignant neoplasm of glottis,,,B210.00,,,,,,,,
26165,Malignant neoplasm of supraglottis,,,B211.00,,,,,,,,
22441,Malignant neoplasm of subglottis,,,B212.00,,,,,,,,
43111,Malignant neoplasm of laryngeal cartilage,,,B213.00,,,,,,,,
63460,Malignant neoplasm of arytenoid cartilage,,,B213000,,,,,,,,
37805,Malignant neoplasm of cricoid cartilage,,,B213100,,,,,,,,
47862,Malignant neoplasm of thyroid cartilage,,,B213300,,,,,,,,
97332,Malignant neoplasm of laryngeal cartilage NOS,,,B213z00,,,,,,,,
50579,"Malignant neoplasm, overlapping lesion of larynx",,,B214.00,,,,,,,,
55374,Malignant neoplasm of epiglottis NOS,,,B215.00,,,,,,,,
26813,"Malignant neoplasm of larynx, other specified site",,,B21y.00,,,,,,,,
9237,Malignant neoplasm of larynx NOS,,,B21z.00,,,,,,,,
13243,"Malignant neoplasm of trachea, bronchus and lung",,,B22..00,,,,,,,,
15221,Malignant neoplasm of trachea,,,B220.00,,,,,,,,
103946,Malignant neoplasm of mucosa of trachea,,,B220100,,,,,,,,
37810,Malignant neoplasm of trachea NOS,,,B220z00,,,,,,,,
12870,Malignant neoplasm of main bronchus,,,B221.00,,,,,,,,
17391,Malignant neoplasm of carina of bronchus,,,B221000,,,,,,,,
33444,Malignant neoplasm of hilus of lung,,,B221100,,,,,,,,
21698,Malignant neoplasm of main bronchus NOS,,,B221z00,,,,,,,,
10358,"Malignant neoplasm of upper lobe, bronchus or lung",,,B222.00,,,,,,,,
20170,Pancoast's syndrome,,,B222.11,,,,,,,,
31700,Malignant neoplasm of upper lobe bronchus,,,B222000,,,,,,,,
25886,Malignant neoplasm of upper lobe of lung,,,B222100,,,,,,,,
44169,"Malignant neoplasm of upper lobe, bronchus or lung NOS",,,B222z00,,,,,,,,
31268,"Malignant neoplasm of middle lobe, bronchus or lung",,,B223.00,,,,,,,,
41523,Malignant neoplasm of middle lobe bronchus,,,B223000,,,,,,,,
39923,Malignant neoplasm of middle lobe of lung,,,B223100,,,,,,,,
54134,"Malignant neoplasm of middle lobe, bronchus or lung NOS",,,B223z00,,,,,,,,
31188,"Malignant neoplasm of lower lobe, bronchus or lung",,,B224.00,,,,,,,,
18678,Malignant neoplasm of lower lobe bronchus,,,B224000,,,,,,,,
12582,Malignant neoplasm of lower lobe of lung,,,B224100,,,,,,,,
42566,"Malignant neoplasm of lower lobe, bronchus or lung NOS",,,B224z00,,,,,,,,
36371,Malignant neoplasm of overlapping lesion of bronchus & lung,,,B225.00,,,,,,,,
7484,Mesothelioma,,,B226.00,,,,,,,,
38961,Malignant neoplasm of other sites of bronchus or lung,,,B22y.00,,,,,,,,
3903,Malignant neoplasm of bronchus or lung NOS,,,B22z.00,,,,,,,,
2587,Lung cancer,,,B22z.11,,,,,,,,
31573,Malignant neoplasm of pleura,,,B23..00,,,,,,,,
67107,Malignant neoplasm of parietal pleura,,,B230.00,,,,,,,,
9600,Mesothelioma of pleura,,,B232.00,,,,,,,,
98104,Malignant neoplasm of other specified pleura,,,B23y.00,,,,,,,,
34742,Malignant neoplasm of pleura NOS,,,B23z.00,,,,,,,,
62556,"Malignant neoplasm of thymus, heart and mediastinum",,,B24..00,,,,,,,,
27483,Malignant neoplasm of thymus,,,B240.00,,,,,,,,
95644,Malignant neoplasm of heart,,,B241.00,,,,,,,,
63430,Malignant neoplasm of endocardium,,,B241000,,,,,,,,
65605,Malignant neoplasm of myocardium,,,B241200,,,,,,,,
94975,Malignant neoplasm of pericardium,,,B241300,,,,,,,,
101885,Mesothelioma of pericardium,,,B241400,,,,,,,,
50289,Malignant neoplasm of heart NOS,,,B241z00,,,,,,,,
27715,Malignant neoplasm of anterior mediastinum,,,B242.00,,,,,,,,
92720,Malignant neoplasm of posterior mediastinum,,,B243.00,,,,,,,,
61064,"Malignant neoplasm of mediastinum, part unspecified",,,B24X.00,,,,,,,,
100232,"Malig neop of other site of heart, thymus and mediastinum",,,B24y.00,,,,,,,,
66750,"Malignant neoplasm of heart, thymus and mediastinum NOS",,,B24z.00,,,,,,,,
39531,"Malig neo, overlapping lesion of heart, mediastinum & pleura",,,B25..00,,,,,,,,
66646,"Malignant neoplasm, overlap lesion of resp & intrathor orgs",,,B26..00,,,,,,,,
44356,Malig neop other/ill-defined sites resp/intrathoracic organs,,,B2z..00,,,,,,,,
65793,"Malig neop of upper respiratory tract, part unspecified",,,B2z0.00,,,,,,,,
29283,Malignant neoplasm of other site of respiratory tract,,,B2zy.00,,,,,,,,
42569,Malignant neoplasm of respiratory tract NOS,,,B2zz.00,,,,,,,,
18608,"Malig neop of bone, connective tissue, skin and breast",,,B3...00,,,,,,,,
9902,"Carcinoma of bone, connective tissue, skin and breast",,,B3...11,,,,,,,,
12539,Sarcoma of bone and connective tissue,,,B3...12,,,,,,,,
18314,Malignant neoplasm of bone and articular cartilage,,,B30..00,,,,,,,,
59036,Malignant neoplasm of bones of skull and face,,,B300.00,,,,,,,,
53594,Malignant neoplasm of ethmoid bone,,,B300000,,,,,,,,
53599,Malignant neoplasm of frontal bone,,,B300100,,,,,,,,
59520,Malignant neoplasm of malar bone,,,B300200,,,,,,,,
