medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release
308310018	"Cellulitis and abscess of temple region"	"M0305"	"M030500"	200651009	308310018	
308350015	"Cellulitis and abscess of thigh"	"M0361"	"M036100"	200679003	308350015	
308282015	"Cellulitis and abscess of toe"	"M021"	"M021.00"	200638004	308282015	
399892014	"Cellulitis and abscess of toe NOS"	"M021z"	"M021z00"	200638004	541131000006118	
308283013	"Cellulitis and abscess of toe unspecified"	"M0210"	"M021000"	200638004	541141000006111	
308316012	"Cellulitis and abscess of trunk"	"M032"	"M032.00"	200655000	308316012	
308325018	"Cellulitis and abscess of trunk NOS"	"M032z"	"M032z00"	200655000	541161000006110	
308321010	"Cellulitis and abscess of umbilicus"	"M0324"	"M032400"	200660001	308321010	
308329012	"Cellulitis and abscess of upper arm"	"M0332"	"M033200"	200668008	308329012	
308342012	"Cellulitis and abscess of wrist"	"M0341"	"M034100"	200674008	308342012	
308360012	"Cellulitis in diabetic foot"	"M0372"	"M037200"	200687002	308360012	
40768015	"Cellulitis of ankle"	"M086"	"M086.00"	24288004	40768015	
423153016	"Cellulitis of arm"	"M088"	"M088.00"	449671007	541231000006112	
32771017	"Cellulitis of axilla"	"M08A"	"M08A.00"	19457002	32771017	
357317012	"Cellulitis of dorsum of hand"	"M0340-3"	"M034013"	238396007	357317012	
158680013	"Cellulitis of external ear"	"M038"	"M038.00"	95806007	158680013	
347348011	"Cellulitis of eyelid"	"F4D14"	"F4D1400"	231796003	347348011	
541281000006113	"Cellulitis of eyelids"	"F4D0-1"	"F4D0.11"	41446000	541281000006113	
541291000006111	"Cellulitis of face"	"M0306"	"M030600"	200652002	541291000006111	
308311019	"Cellulitis of face"	"M082"	"M082.00"	200652002	308311019	
302270018	"Cellulitis of floor of mouth"	"J0830"	"J083000"	196538002	302270018	
206541013	"Cellulitis of foot"	"M08B"	"M08B.00"	128276007	206541013	
48067018	"Cellulitis of larynx"	"H1y71"	"H1y7100"	28709001	48067018	
357328011	"Cellulitis of leg"	"M085"	"M085.00"	449710006	541341000006114	
85030014	"Cellulitis of lip"	"J0851"	"J085100"	51030006	85030014	
62096018	"Cellulitis of neck"	"M089"	"M089.00"	37223007	62096018	
357321017	"Cellulitis of palm of hand"	"M0340-4"	"M034014"	238398008	357321017	
25168017	"Cellulitis of penis"	"K2723"	"K272300"	14812002	25168017	
58130016	"Cellulitis of scrotum"	"K2843"	"K284300"	34830002	58130016	
178652010	"Cellulitis of seminal vesicle"	"K2802"	"K280200"	111414008	178652010	
357316015	"Cellulitis of skin area excluding digits of hand or foot"	"M03-3"	"M03..13"	238395006	357316015	
117333013	"Cellulitis of toe"	"M08C"	"M08C.00"	70637004	117333013	
541421000006113	"Cellulitis of trunk"	"M0328"	"M032800"	46876003	541421000006113	
78133018	"Cellulitis of trunk"	"M083"	"M083.00"	46876003	78133018	
40845016	"Cellulitis of vocal cords"	"H1y51"	"H1y5100"	24347001	40845016	
219471000000116	"Cellulitis, external ear"	"F5011-2"	"F501112"	95806007	219471000000116	
889021000006111	"Cellulitis/abscess - arm"	"M033-99"	"M033.99"	200665006	889021000006111	
889041000006116	"Cellulitis/abscess - buttock"	"M035-99"	"M035.99"	200676005	889041000006116	
888991000006118	"Cellulitis/abscess - face"	"M030-99"	"M030.99"	200645004	888991000006118	
889001000006118	"Cellulitis/abscess - neck"	"M031-99"	"M031.99"	267779003	889001000006118	
889011000006115	"Cellulitis/abscess - trunk"	"M032-99"	"M032.99"	200655000	889011000006115	
888941000006110	"Cellulitis/abscess -finger/toe"	"M02-99"	"M02..99"	200628009	888941000006110	
888981000006116	"Cellulitis/abscess NOS"	"M03-99"	"M03..99"	70759006	888981000006116	
472876012	"Cutaneous cellulitis"	"M08"	"M08..00"	123951002	472876012	
360108016	"Cutaneous erysipeloid"	"A2712"	"A271200"	240394009	360108016	
646471000006112	"Eosinophilic cellulitis [Wells]"	"M2y7"	"M2y7.00"	238931006	646471000006112	
74483012	"Erysipelas"	"A35"	"A35..00"	44653001	74483012	
298955019	"Erysipelas - otitis externa"	"F5014-1"	"F501411"	194202008	298955019	
1785233018	"Erysipelothrix infection"	"A2710"	"A271000"	367434002	1785233018	
286408011	"Erysipelothrix infection NOS"	"A271z"	"A271z00"	367434002	648141000006110	
395329012	"Erysipelothrix infection, unspecified"	"A271"	"A271.00"	367434002	648151000006112	
1814321000006111	"Erysipelothrix sepsis"	"A2713-1"	"A271311"	447684006	1814321000006111	
286405014	"Erysipelothrix septicaemia"	"A2711"	"A271100"	447684006	648161000006114	
360374010	"Gonococcal cellulitis"	"A98yy-4"	"A98yy14"	240584003	360374010	
298954015	"Infective otitis externa due to erysipelas"	"F5014"	"F501400"	194202008	298954015	
302275011	"Ludwig's angina"	"J0833"	"J083300"	196542004	302275011	
954061000006115	"Notification of erysipelas"	"TRISNO18"	""	954061000006104	954061000006115	
42341000006115	"Oral cellulitis and abscess"	"J083"	"J083.00"	41188003	42341000006115	
396325011	"Oral cellulitis and abscess NOS"	"J083z"	"J083z00"	41188003	42351000006118	
302273016	"Oral soft tissue cellulitis unspecified"	"J0831"	"J083100"	8771003	42651000006110	
298680016	"Orbital cellulitis"	"F4G01"	"F4G0100"	194005002	298680016	
399894010	"Other cellulitis and abscess"	"M03"	"M03..00"	70759006	35691000006112	
308363014	"Other specified cellulitis and abscess"	"M03y"	"M03y.00"	70759006	14881000006117	
886951000006111	"Penile cellulitis/abscess/boil"	"K272-99"	"K272.99"	309090002	886951000006111	
450687012	"Perianal cellulitis"	"J540-1"	"J540.11"	307425001	450687012	
12972011	"Periurethral cellulitis"	"K1703"	"K170300"	7253006	12972011	
230901000006114	"Pharynx or nasopharynx cellulitis"	"H1y21"	"H1y2100"	23166004	230901000006114	
106922015	"Phlegmonous dacryocystitis"	"F4F33"	"F4F3300"	64324003	106922015	
450441010	"Postoperative wound cellulitis"	"ESCTPO6"	""	307230004	450441010	
2974644018	"Recurrent cellulitis"	"ESCTRE62"	""	698567002	2974644018	
1787100018	"Rosenbach erysipeloid"	"A271-1"	"A271.11"	240395005	2986283019	
2899947015	"Sepsis due to Erysipelothrix"	"A2713"	"A271300"	447684006	2899947015	
358454017	"Wound cellulitis"	"ESCTWO9"	""	239162003	358454017	
906751000006115	"[RFC] Cellulitis"	"HNG0170"	""	906751000006104	906751000006115	
308446011	"[X]Cellulitis of breast"	"M084"	"M084.00"	75817003	370581000006115	
399909011	"[X]Cellulitis of finger and toe"	"M080"	"M080.00"	19240003	370591000006117	
370601000006113	"[X]Cellulitis of other parts of limb"	"M081"	"M081.00"	123951002	370601000006113	
308453019	"[X]Cellulitis of other sites"	"M08y"	"M08y.00"	123951002	370611000006111	
370621000006115	"[X]Cellulitis of thumb"	"M080-3"	"M080.13"	19240003	370621000006115	
288024013	"[X]Erysipeloid, unspecified"	"Ayu2C"	"Ayu2C00"	400105005	379931000006117	
288023019	"[X]Other forms of erysipeloid"	"Ayu2B"	"Ayu2B00"	400105005	410391000006113	
