medcode	readcode	clinical_events	immunisation_events	referral_events	test_events	read_term	database_build	site
19412	"G602.00"	340	0	1	0	"Subarachnoid haemorrhage from middle cerebral artery"	"February 2009"	1
9696	"G604.00"	80	0	0	0	"Subarachnoid haemorrhage from posterior communicating artery"	"February 2009"	1
60692	"G606.00"	12	0	0	0	"Subarachnoid haemorrhage from vertebral artery"	"February 2009"	1
23580	"G60z.00"	812	0	8	0	"Subarachnoid haemorrhage NOS"	"February 2009"	1
17734	"G622.00"	3340	0	27	0	"Subdural haematoma - nontraumatic"	"February 2009"	1
4273	"G621.00"	2310	0	178	0	"Subdural haemorrhage - nontraumatic"	"February 2009"	1
6569	"S62..13"	1066	0	26	0	"Subdural haemorrhage following injury"	"February 2009"	1
18912	"G623.00"	3807	0	42	0	"Subdural haemorrhage NOS"	"February 2009"	1
28765	"F42y400"	427	0	5	0	"Subretinal haemorrhage"	"February 2009"	1
46938	"F42y100"	95	0	20	0	"Superficial retinal haemorrhage"	"February 2009"	1
38184	"7404.00"	184	0	7	0	"Surgical arrest of bleeding from internal nose"	"February 2009"	1
62741	"7404z00"	29	0	0	0	"Surgical arrest of bleeding from internal nose NOS"	"February 2009"	1
68624	"7404y00"	12	0	0	0	"Surgical arrest of bleeding from internal nose OS"	"February 2009"	1
52717	"7517511"	10	0	1	0	"Surgical arrest of bleeding post dental extraction"	"February 2009"	1
34125	"7531400"	349	0	19	0	"Surgical arrest of postoperative bleeding from tonsillar bed"	"February 2009"	1
33895	"7517500"	102	0	4	0	"Surgical arrest of postoperative bleeding from tooth socket"	"February 2009"	1
90773	"7421300"	10	0	0	0	"Surgical arrest of postoperative bleeding of adenoid"	"February 2009"	1
62038	"7609y11"	3	0	0	0	"Tanner devascularisation for bleeding varices"	"February 2009"	1
39575	"C063000"	23	0	1	0	"Thyroid haemorrhage"	"February 2009"	1
28077	"S62..14"	62	0	0	0	"Traumatic cerebral haemorrhage"	"February 2009"	1
18411	"S62A.00"	877	0	3	0	"Traumatic extradural haematoma"	"February 2009"	1
109369	"S62A100"	2	0	0	0	"Traumatic extradural haematoma with open intracranial wound"	"March 2015"	1
41874	"S708.00"	109	0	0	0	"Traumatic haemopneumothorax"	"February 2009"	1
58545	"S627.00"	62	0	0	0	"Traumatic subarachnoid haemorrhage"	"February 2009"	1
7862	"S629.00"	3347	0	26	0	"Traumatic subdural haematoma"	"February 2009"	1
96677	"S629100"	5	0	0	0	"Traumatic subdural haematoma with open intracranial wound"	"April 2009"	1
53980	"S629000"	23	0	0	0	"Traumatic subdural haematoma without open intracranial wound"	"February 2009"	1
8181	"S628.00"	102	0	2	0	"Traumatic subdural haemorrhage"	"February 2009"	1
28366	"J12yy00"	6	0	0	0	"Unspec duodenal ulcer; unspec haemorrhage and/or perforation"	"February 2009"	1
94397	"J11yy00"	10	0	0	0	"Unspec gastric ulcer; unspec haemorrhage and/or perforation"	"February 2009"	1
15464	"F436000"	191	0	15	0	"Unspecified choroidal haemorrhage"	"February 2009"	1
2814	"J12y100"	842	0	113	0	"Unspecified duodenal ulcer with haemorrhage"	"February 2009"	1
93436	"J12y300"	1	0	0	0	"Unspecified duodenal ulcer with haemorrhage and perforation"	"February 2009"	1
57958	"J11y100"	28	0	0	0	"Unspecified gastric ulcer with haemorrhage"	"February 2009"	1
60346	"J14y100"	1	0	0	0	"Unspecified gastrojejunal ulcer with haemorrhage"	"February 2009"	1
70456	"J13y100"	11	0	0	0	"Unspecified peptic ulcer with haemorrhage"	"February 2009"	1
96622	"J13y300"	1	0	0	0	"Unspecified peptic ulcer with haemorrhage and perforation"	"April 2009"	1
40583	"701..00"	104	0	6	0	"Ventricle of brain and subarachnoid space operations"	"February 2009"	1
105871	"701z.00"	2	0	0	0	"Ventricle of brain and subarachnoid space operations NOS"	"March 2013"	1
39950	"701y.00"	7	0	0	0	"Ventricle of brain or subarachnoid space operations OS"	"February 2009"	1
97122	"G673300"	179	0	1	0	"Vertebral artery dissection"	"August 2009"	1
1201	"F4K2800"	10972	0	553	1	"Vitreous haemorrhage"	"February 2009"	1
