v1	medcode	readcode	clinicalevents	readterm	Typei	Typeii	unknowntype
266	94186	"9OLF.00"	3518	"Diabetes structured education programme completed"	0	0	1
381	101834	"9h43.00"	545	"Excepted from diabetes qual indicators: service unavailable"	0	0	1
255	35107	"C104z00"	470	"Diabetes mellitus with nephropathy NOS"	0	0	1
688	68818	"ZRB5.11"	575	"DTSQ - Diabetes treatment satisfaction questionnaire"	0	0	1
217	28769	"66AV.00"	36346	"Diabetic on insulin and oral treatment"	0	0	1
483	45276	"C10E312"	19	"Insulin dependent diabetes mellitus with multiple complicat"	0	0	1
708	30247	"TJ23000"	46	"Adverse reaction to insulins"	0	0	1
87	13057	"679L.00"	172803	"Health education - diabetes"	0	0	1
427	64357	"C10zz00"	1377	"Diabetes mellitus NOS with unspecified complication"	0	0	1
683	99628	"Kyu0300"	9	"[X]Glomerular disorders in diabetes mellitus"	0	0	1
126	36855	"2BBG.00"	630	"Retinal abnormality - non-diabetes"	0	0	1
52	9974	"9N1v.00"	111910	"Seen in diabetic eye clinic"	0	0	1
559	66274	"66Ah.00"	707	"Insulin needles changed for each injection"	0	0	1
261	93631	"9OLL.00"	2410	"XPERT diabetes structured education programme completed"	0	0	1
765	65616	"C108H00"	7	"Insulin dependent diabetes mellitus with arthropathy"	0	0	1
796	100347	"C10A500"	1	"Malnutritn-relat diabetes melitus wth periph circul complctn"	0	0	1
766	113796	"9Na5200"	11	"Joint consultation GP & community diabetes specialist nurse"	0	0	1
296	31241	"9OLZ.00"	37353	"Diabetes monitoring admin.NOS"	0	0	1
642	41716	"C108C00"	15	"Insulin dependent diabetes mellitus with polyneuropathy"	0	0	1
218	106622	"38Gj.00"	12348	"QDiabetes risk calculator"	0	0	1
157	35316	"2G5H.00"	16133	"O/E - Right diabetic foot - ulcerated"	0	0	1
530	94956	"8I84.00"	215	"Did not complete XPERT diabetes structured education program"	0	0	1
176	8618	"ZLA2500"	7941	"Seen by diabetic liaison nurse"	0	0	1
83	47011	"8Hj0.00"	66344	"Referral to diabetes structured education programme"	0	0	1
122	13102	"2BBW.00"	31665	"O/E - right eye diabetic maculopathy"	0	0	1
444	108993	"661M400"	1676	"Diabetes self-management plan agreed"	0	0	1
465	50960	"L180500"	238	"Pre-existing diabetes mellitus, insulin-dependent"	0	0	1
415	107603	"C10P.00"	3399	"Diabetes mellitus in remission"	0	0	1
645	68546	"ZRB4.00"	5916	"Diabetes clinic satisfaction questionnaire"	0	0	1
105	106269	"9m0..00"	692	"Diabetic retinopathy screening administrative status"	0	0	1
20	711	"C10..00"	989886	"Diabetes mellitus"	0	0	1
64	18747	"8I6F.00"	13116	"Diabetic retinopathy screening not indicated"	0	0	1
304	52283	"C108200"	11	"Insulin-dependent diabetes mellitus with neurological comps"	0	0	1
264	11977	"ZL62500"	2720	"Referral to diabetes nurse"	0	0	1
721	107793	"9Oy0400"	142	"Diabetic foot screening invitation third letter"	0	0	1
768	64449	"C108z00"	4	"Unspecified diabetes mellitus with multiple complications"	0	0	1
76	24363	"8A13.00"	1547	"Diabetic stabilisation"	0	0	1
498	105585	"8CMW700"	25945	"Diabetes clinical pathway"	0	0	1
653	64283	"C10zy00"	16	"Other specified diabetes mellitus with unspecified comps"	0	0	1
691	109521	"9m02.00"	5	"Eligibility temporarily inactive for diabetic retinop screen"	0	0	1
199	64142	"8Hl1.00"	19934	"Referral for diabetic retinopathy screening"	0	0	1
677	106350	"9m05.00"	50	"Excluded from diabetic retinopathy screening as moved away"	0	0	1
119	8306	"8H7f.00"	6721	"Referral to diabetes nurse"	0	0	1
253	29041	"66AN.00"	783	"Date diabetic treatment start"	0	0	1
234	36798	"7L10000"	389	"Continuous subcutaneous infusion of insulin"	0	0	1
648	100770	"C10EF12"	1	"Insulin dependent diabetes mellitus with diabetic cataract"	0	0	1
395	57723	"8HHy.00"	1148	"Referral to diabetic register"	0	0	1
419	31053	"R054300"	60	"[D]Widespread diabetic foot gangrene"	0	0	1
686	53630	"C110.11"	17	"Insulin coma"	0	0	1
144	13099	"2BBR.00"	11507	"O/E - right eye preproliferative diabetic retinopathy"	0	0	1
192	11677	"8H7r.00"	43838	"Refer to diabetic foot screener"	0	0	1
399	65025	"C107z00"	102	"Diabetes mellitus NOS with peripheral circulatory disorder"	0	0	1
348	10278	"L180800"	1075	"Diabetes mellitus arising in pregnancy"	0	0	1
16	11094	"9NND.00"	447388	"Under care of diabetic foot screener"	0	0	1
320	43493	"M21yC11"	288	"Insulin site lipohypertrophy"	0	0	1
208	51261	"C10E.12"	1842	"Insulin dependent diabetes mellitus"	0	0	1
728	109133	"L180700"	2	"Pre-existing malnutrition-related diabetes mellitus"	0	0	1
259	94011	"9OLG.00"	1487	"Attended XPERT diabetes structured education programme"	0	0	1
22	26667	"2G5I.00"	1807274	"O/E - Left diabetic foot at low risk"	0	0	1
745	46290	"C108y00"	19	"Other specified diabetes mellitus with multiple comps"	0	0	1
461	11848	"C314.11"	42	"Renal diabetes"	0	0	1
777	97824	"ZRB6.11"	3	"DWBQ - Diabetes wellbeing questionnaire"	0	0	1
224	12225	"8H7C.00"	6873	"Refer, diabetic liaison nurse"	0	0	1
725	70821	"C10yz00"	24	"Diabetes mellitus NOS with other specified manifestation"	0	0	1
600	54419	"918T.00"	2693	"Diabetes key contact"	0	0	1
282	61470	"66Al.00"	222	"Diabetic monitoring - higher risk albumin excretion"	0	0	1
241	93870	"8Hj5.00"	34737	"Referral to XPERT diabetes structured education programme"	0	0	1
101	28873	"66Ai.00"	202943	"Diabetic 6 month review"	0	0	1
476	57333	"N030011"	41	"Diabetic cheiropathy"	0	0	1
747	96506	"C10G000"	8	"Secondary pancreatic diabetes mellitus without complication"	0	0	1
610	67635	"L180000"	26	"Diabetes mellitus - unspec whether in pregnancy/puerperium"	0	0	1
173	7059	"8H2J.00"	1818	"Admit diabetic emergency"	0	0	1
690	59903	"C106.11"	44	"Diabetic amyotrophy"	0	0	1
225	32619	"66Af.00"	36353	"Patient diabetes education review"	0	0	1
143	11129	"2BBQ.00"	184505	"O/E - left eye background diabetic retinopathy"	0	0	1
432	62384	"2G5V.00"	100	"O/E - right chronic diabetic foot ulcer"	0	0	1
106	13067	"66AZ.00"	184670	"Diabetic monitoring NOS"	0	0	1
29	12675	"66AQ.00"	144841	"Diabetes: shared care programme"	0	0	1
462	99277	"9NiC.00"	99	"Did not attend DAFNE diabetes structured education programme"	0	0	1
33	106218	"9m0A.00"	43920	"Declined diabetic retinopathy screening"	0	0	1
273	103772	"8CE0200"	9626	"Insulin passport given"	0	0	1
200	17886	"66AM.00"	13380	"Diabetic - follow-up default"	0	0	1
274	18142	"N030000"	428	"Diabetic cheiroarthropathy"	0	0	1
48	12247	"8I6G.00"	28453	"Diabetic foot examination not indicated"	0	0	1
398	22573	"C106z00"	459	"Diabetes mellitus NOS with neurological manifestation"	0	0	1
121	1647	"C108.00"	36535	"Insulin dependent diabetes mellitus"	0	0	1
93	9013	"66AJ.11"	1422	"Unstable diabetes"	0	0	1
130	3286	"F420100"	14818	"Proliferative diabetic retinopathy"	0	0	1
503	101728	"66As.00"	1540	"Diabetic on subcutaneous treatment"	0	0	1
9	12506	"66AP.00"	852471	"Diabetes: practice programme"	0	0	1
342	106722	"9Oy0300"	481	"Diabetic foot screening invitation second letter"	0	0	1
249	49884	"6761.00"	686	"Diabetic pre-pregnancy counselling"	0	0	1
300	93390	"9OLH.00"	421	"Attended DAFNE diabetes structured education programme"	0	0	1
128	32403	"C107.11"	305	"Diabetes mellitus with gangrene"	0	0	1
230	22130	"9OL3.00"	19930	"Diabetes monitoring default"	0	0	1
445	106327	"9m04.00"	228	"Excluded from diabetic retinopathy screening"	0	0	1
575	95094	"8I81.00"	142	"Did not complete diabetes structured education programme"	0	0	1
263	21420	"66AJ200"	656	"Loss of hypoglycaemic warning"	0	0	1
292	6791	"C108800"	489	"Insulin dependent diabetes mellitus - poor control"	0	0	1
134	18185	"2G5D.00"	2029	"Foot abnormality - non-diabetes"	0	0	1
649	34528	"3882.00"	668	"Diabetes well being questionnaire"	0	0	1
154	11663	"M271100"	2883	"Neuropathic diabetic ulcer - foot"	0	0	1
269	17869	"66AL.00"	430	"Diabetic-uncooperative patient"	0	0	1
408	100436	"679L000"	7455	"Education in self management of diabetes"	0	0	1
496	34639	"L180100"	77	"Diabetes mellitus during pregnancy - baby delivered"	0	0	1
138	11599	"7276.00"	7324	"Pan retinal photocoagulation for diabetes"	0	0	1
663	61461	"9M00.00"	835	"Informed consent for diabetes national audit"	0	0	1
584	107881	"K08yA11"	8	"Clinical diabetic nephropathy"	0	0	1
613	69124	"C107300"	46	"IDDM with peripheral circulatory disorder"	0	0	1
449	33254	"C105.00"	2443	"Diabetes mellitus with ophthalmic manifestation"	0	0	1
51	7563	"66A3.00"	206413	"Diabetic on diet only"	0	0	1
454	58639	"8I57.00"	115	"Patient held diabetic record declined"	0	0	1
7	1684	"66A4.00"	434764	"Diabetic on oral treatment"	0	0	1
678	49276	"C108100"	28	"Insulin-dependent diabetes mellitus with ophthalmic comps"	0	0	1
438	103816	"8CE0100"	3132	"Insulin alert patient information booklet given"	0	0	1
775	99719	"C10EA12"	5	"Insulin-dependent diabetes without complication"	0	0	1
212	24327	"M271000"	3269	"Ischaemic ulcer diabetic foot"	0	0	1
525	41686	"Cyu2000"	6	"[X]Other specified diabetes mellitus"	0	0	1
667	108655	"8BAp.00"	32	"Insulin passport not checked"	0	0	1
726	59288	"C103y00"	5	"Other specified diabetes mellitus with coma"	0	0	1
760	110511	"67W1.00"	49	"Recommendation self-refer for diabetes structured education"	0	0	1
418	104254	"7L10011"	671	"Subcutaneous infusion with insulin pump"	0	0	1
553	69163	"8HTi.00"	210	"Referral to multidisciplinary diabetic clinic"	0	0	1
495	100033	"U60231E"	15	"[X] Adverse reaction to insulins and antidiabetic agents NOS"	0	0	1
11	2378	"66AJ.00"	172586	"Diabetic - poor control"	0	0	1
246	17236	"14P3.00"	17137	"H/O: insulin therapy"	0	0	1
576	98954	"3883.00"	10434	"Diabetes treatment satisfaction questionnaire"	0	0	1
3	9897	"9OL..00"	2840801	"Diabetes monitoring admin."	0	0	1
619	63357	"C107100"	232	"Diabetes mellitus, adult, + peripheral circulatory disorder"	0	0	1
790	98704	"C10E512"	11	"Insulin dependent diabetes mellitus with ulcer"	0	0	1
392	6509	"C108700"	297	"Insulin dependent diabetes mellitus with retinopathy"	0	0	1
361	32556	"C107.12"	170	"Diabetes with gangrene"	0	0	1
166	106360	"K27y700"	504	"Erectile dysfunction due to diabetes mellitus"	0	0	1
270	2478	"66AJ100"	1215	"Brittle diabetes"	0	0	1
647	109806	"8Hgd.00"	100	"Discharge from secondary care diabetes service"	0	0	1
672	46963	"C108000"	46	"Insulin-dependent diabetes mellitus with renal complications"	0	0	1
356	105302	"K08yA00"	509	"Proteinuric diabetic nephropathy"	0	0	1
573	103743	"8IE2.00"	125	"Diabetes care plan declined"	0	0	1
182	47341	"8A12.00"	299	"Diabetic crisis monitoring"	0	0	1
90	35383	"9OLD.00"	23995	"Diabetic patient unsuitable for digital retinal photography"	0	0	1
306	109760	"1M8..00"	65	"Diabetic peripheral neuropathic pain"	0	0	1
423	33807	"C107200"	69	"Diabetes mellitus, adult with gangrene"	0	0	1
521	101881	"2BBr.00"	20	"Impaired vision due to diabetic retinopathy"	0	0	1
626	69152	"66Aj.00"	47	"Insulin needles changed less than once a day"	0	0	1
448	24571	"F372200"	219	"Asymptomatic diabetic neuropathy"	0	0	1
658	110409	"679l.00"	356	"Diabetic injection administration education"	0	0	1
693	34283	"C105z00"	228	"Diabetes mellitus NOS with ophthalmic manifestation"	0	0	1
31	11041	"9h41.00"	115300	"Excepted from diabetes qual indicators: Patient unsuitable"	0	0	1
2	6125	"66AS.00"	2770139	"Diabetic annual review"	0	0	1
388	15690	"C103.00"	421	"Diabetes mellitus with ketoacidotic coma"	0	0	1
38	9145	"9N4I.00"	110605	"DNA - Did not attend diabetic clinic"	0	0	1
629	68928	"TJ23.00"	46	"Adverse reaction to insulins and antidiabetic agents"	0	0	1
113	13191	"9OL..11"	22544	"Diabetes clinic administration"	0	0	1
781	109051	"C10E612"	7	"Insulin dependent diabetes mellitus with gangrene"	0	0	1
188	9835	"2BBL.00"	5358	"O/E - diabetic maculopathy present both eyes"	0	0	1
684	108634	"9NJy.00"	22	"In-house diabetic foot screening"	0	0	1
548	52212	"Cyu2.00"	279	"[X]Diabetes mellitus"	0	0	1
290	108890	"679L300"	4986	"Diabetic foot care education"	0	0	1
412	23479	"C350011"	13	"Bronzed diabetes"	0	0	1
596	109520	"9m03.00"	6	"Eligibility permanently inactive for diabetic retinop screen"	0	0	1
780	96823	"L180400"	2	"Diabetes mellitus in pueperium - baby previously delivered"	0	0	1
294	9881	"M271200"	3179	"Mixed diabetic ulcer - foot"	0	0	1
210	13103	"2BBS.00"	11361	"O/E - left eye preproliferative diabetic retinopathy"	0	0	1
324	61670	"889A.00"	11	"Diab mellit insulin-glucose infus acute myocardial infarct"	0	0	1
339	103798	"9b92000"	342	"Diabetic medicine"	0	0	1
597	66475	"66Ak.00"	446	"Diabetic monitoring - lower risk albumin excretion"	0	0	1
102	93529	"9OLK.00"	2384	"DESMOND diabetes structured education programme completed"	0	0	1
318	107361	"679L200"	12285	"Education about diabetes and driving"	0	0	1
23	26666	"2G5E.00"	1819948	"O/E - Right diabetic foot at low risk"	0	0	1
568	14560	"4493.00"	62	"Serum insulin"	0	0	1
125	32739	"9N0n.00"	2958	"Seen in community diabetes specialist clinic"	0	0	1
169	19381	"8HTk.00"	6319	"Referral to diabetic eye clinic"	0	0	1
268	35399	"C107.00"	4115	"Diabetes mellitus with peripheral circulatory disorder"	0	0	1
329	93704	"8Hj3.00"	2072	"Referral to DAFNE diabetes structured education programme"	0	0	1
409	105207	"8HTE100"	1001	"Referral to community diabetes clinic"	0	0	1
254	36669	"66b1.00"	717	"Diabetic monitoring not required"	0	0	1
447	17313	"F440700"	82	"Diabetic iritis"	0	0	1
347	12677	"ZV77100"	4207	"[V]Screening for diabetes mellitus"	0	0	1
175	49640	"2G5W.00"	122	"O/E - left chronic diabetic foot ulcer"	0	0	1
215	104287	"8Hlc.00"	1225	"Referral to community diabetes service"	0	0	1
135	13197	"9OL1.00"	211396	"Attends diabetes monitoring"	0	0	1
35	8842	"66A5.00"	133251	"Diabetic on insulin"	0	0	1
518	16491	"C106.13"	75	"Diabetes mellitus with polyneuropathy"	0	0	1
376	63412	"8CR2.00"	7075	"Diabetes clinical management plan"	0	0	1
32	11348	"9h42.00"	184894	"Excepted from diabetes quality indicators: Informed dissent"	0	0	1
114	105741	"2G5e.00"	21099	"O/E - Right diabetic foot at increased risk"	0	0	1
150	2340	"F381311"	740	"Diabetic amyotrophy"	0	0	1
666	65517	"8BA4.00"	13	"Shock therapy - insulin"	0	0	1
540	97809	"8I82.00"	16	"Did not complete DAFNE diabetes structured education program"	0	0	1
235	102316	"1JL..00"	6106	"Suspected diabetes mellitus"	0	0	1
472	101455	"9OLN.00"	8867	"Diabetes monitor invitation by SMS (short message service)"	0	0	1
286	16230	"C106.00"	15704	"Diabetes mellitus with neurological manifestation"	0	0	1
111	10824	"9N1i.00"	23948	"Seen in diabetic foot clinic"	0	0	1
608	111347	"9Na5100"	474	"Joint consultn pracse nurse & comm diabetes specialist nurse"	0	0	1
181	6813	"1434.00"	57274	"H/O: diabetes mellitus"	0	0	1
1	95994	"66Aq.00"	267087	"Diabetic foot screen"	0	0	1
529	47584	"F420500"	137	"Advanced diabetic retinal disease"	0	0	1
636	52104	"C108300"	15	"Insulin dependent diabetes mellitus with multiple complicatn"	0	0	1
500	104858	"8BAm.00"	1314	"Insulin passport checked"	0	0	1
43	10977	"66Ac.00"	235934	"Diabetic peripheral neuropathy screening"	0	0	1
552	64384	"L180z00"	83	"Diabetes mellitus in pregnancy/childbirth/puerperium NOS"	0	0	1
580	65684	"U602311"	25	"[X] Adverse reaction to insulins and antidiabetic agents"	0	0	1
657	53303	"449E.00"	1	"Plasma insulin C-peptide level"	0	0	1
393	83485	"66Am.00"	4998	"Insulin dose changed"	0	0	1
15	12213	"8BL2.00"	173892	"Patient on maximal tolerated therapy for diabetes"	0	0	1
137	95124	"9Oy0.00"	22212	"Diabetes screening invitation"	0	0	1
362	106738	"9Oy0000"	2194	"Diabetic foot screening invitation"	0	0	1
421	26855	"C108400"	112	"Unstable insulin dependent diabetes mellitus"	0	0	1
247	43951	"66AK.00"	1443	"Diabetic - cooperative patient"	0	0	1
375	52041	"2BBl.00"	361	"O/E - left eye stable treated prolif diabetic retinopathy"	0	0	1
284	18056	"2G5C.00"	1264	"Foot abnormality - diabetes related"	0	0	1
510	33343	"C10y.00"	99	"Diabetes mellitus with other specified manifestation"	0	0	1
80	18311	"68A7.00"	240280	"Diabetic retinopathy screening"	0	0	1
75	2986	"F420200"	7977	"Preproliferative diabetic retinopathy"	0	0	1
280	7045	"14F4.00"	962	"H/O: Admission in last year for diabetes foot problem"	0	0	1
140	27921	"2G51000"	666	"Foot abnormality - diabetes related"	0	0	1
664	54600	"C10E412"	10	"Unstable insulin dependent diabetes mellitus"	0	0	1
84	7069	"F420000"	120704	"Background diabetic retinopathy"	0	0	1
712	47377	"C105y00"	11	"Other specified diabetes mellitus with ophthalmic complicatn"	0	0	1
152	93854	"9OLM.00"	85480	"Diabetes structured education programme declined"	0	0	1
700	65062	"C103z00"	21	"Diabetes mellitus NOS with ketoacidotic coma"	0	0	1
127	14889	"C100111"	22637	"Maturity onset diabetes"	0	0	1
523	47058	"8Hg4.00"	286	"Discharged from care of diabetes specialist nurse"	0	0	1
313	16971	"ZV77111"	206	"[V]Screening for diabetes mellitus (DM)"	0	0	1
99	13071	"66AI.00"	111364	"Diabetic - good control"	0	0	1
167	95813	"9N1o.00"	214	"Seen in multidisciplinary diabetic clinic"	0	0	1
78	13104	"2BBK.00"	605073	"O/E - no left diabetic retinopathy"	0	0	1
213	13097	"2BBT.00"	6012	"O/E - right eye proliferative diabetic retinopathy"	0	0	1
586	43857	"C10M.00"	43	"Lipoatrophic diabetes mellitus"	0	0	1
533	64675	"TA34100"	2	"Failure in dose in insulin-shock therapy"	0	0	1
681	102946	"C10E012"	5	"Insulin-dependent diabetes mellitus with renal complications"	0	0	1
110	12307	"66AU.00"	63510	"Diabetes care by hospital only"	0	0	1
557	72702	"C10E812"	30	"Insulin dependent diabetes mellitus - poor control"	0	0	1
159	19203	"1I0..00"	7528	"Diabetes mellitus excluded"	0	0	1
599	107597	"9m0D.00"	5	"Excluded from diabetic retinopthy screen as learn disability"	0	0	1
327	102549	"66Aw.00"	1484	"Insulin dose"	0	0	1
370	94699	"ZRB5.00"	723	"Diabetes treatment satisfaction questionnaire"	0	0	1
358	106723	"9Oy0200"	2478	"Diabetic foot screening invitation first letter"	0	0	1
191	38103	"9N0m.00"	3568	"Seen in diabetic nurse consultant clinic"	0	0	1
277	2471	"K01x100"	379	"Nephrotic syndrome in diabetes mellitus"	0	0	1
480	43453	"C10C.00"	129	"Diabetes mellitus autosomal dominant"	0	0	1
207	20696	"66AA.11"	14642	"Injection sites - diabetic"	0	0	1
26	12030	"9OL6.00"	174074	"Diabetes monitoring 3rd letter"	0	0	1
455	103761	"671F000"	778	"Insulin alert pat information booklet information discussed"	0	0	1
390	107739	"679L211"	262	"Advice about diabetes and driving"	0	0	1
621	96468	"C113.00"	2	"Postsurgical hypoinsulinaemia"	0	0	1
592	52236	"C10A.00"	66	"Malnutrition-related diabetes mellitus"	0	0	1
607	106441	"9m01.00"	32	"Ineligible for diabetic retinopathy screening"	0	0	1
730	40216	"449D.00"	4	"Plasma insulin level"	0	0	1
422	38986	"C100.00"	4932	"Diabetes mellitus with no mention of complication"	0	0	1
704	98071	"C10E112"	11	"Insulin-dependent diabetes mellitus with ophthalmic comps"	0	0	1
732	97849	"C10E912"	28	"Insulin dependent diabetes maturity onset"	0	0	1
451	103817	"8BAj.00"	106	"Informed dissent not to carry insulin passport"	0	0	1
44	102434	"66Au.00"	22301	"Diabetic erectile dysfunction review"	0	0	1
492	107452	"66o..00"	404	"Further diabetic monitoring"	0	0	1
139	27891	"N030100"	1214	"Diabetic Charcot arthropathy"	0	0	1
28	20900	"9OLA.11"	19703	"Diabetes monitored"	0	0	1
609	106352	"9m06.00"	75	"Excluded from diabetic retinopathy screening as deceased"	0	0	1
66	102490	"66Av.00"	69294	"Diabetic assessment of erectile dysfunction"	0	0	1
443	107464	"66AS000"	11671	"Diabetes Year of Care annual review"	0	0	1
59	93657	"8Hj4.00"	27885	"Referral to DESMOND diabetes structured education programme"	0	0	1
62	11471	"8B3l.00"	401349	"Diabetes medication review"	0	0	1
566	101311	"C10EC12"	2	"Insulin dependent diabetes mellitus with polyneuropathy"	0	0	1
17	1323	"F420.00"	132480	"Diabetic retinopathy"	0	0	1
190	38076	"M21yC00"	829	"Insulin lipohypertrophy"	0	0	1
276	19739	"68A9.00"	19019	"Diabetic retinopathy screening offered"	0	0	1
50	13070	"66A1.00"	38006	"Initial diabetic assessment"	0	0	1
8	13196	"66AD.00"	91295	"Fundoscopy - diabetic check"	0	0	1
352	44440	"C108E00"	81	"Insulin dependent diabetes mellitus with hypoglycaemic coma"	0	0	1
354	55431	"L180X00"	343	"Pre-existing diabetes mellitus, unspecified"	0	0	1
328	46577	"66AX.00"	96	"Diabetes: shared care in pregnancy - diabetol and obstet"	0	0	1
736	56448	"C108A00"	34	"Insulin-dependent diabetes without complication"	0	0	1
160	17067	"F171100"	3588	"Autonomic neuropathy due to diabetes"	0	0	1
757	112365	"Lyu2900"	1	"[X]Pre-existing diabetes mellitus, unspecified"	0	0	1
801	113661	"66o3.00"	0	"Has diabetes identity card"	0	0	1
40	31157	"2G5F.00"	366171	"O/E - Right diabetic foot at moderate risk"	0	0	1
656	10098	"C10yy00"	12	"Other specified diabetes mellitus with other spec comps"	0	0	1
305	107414	"8I94.00"	4463	"Diabetes structured education programme not available"	0	0	1
430	52237	"9360.00"	13652	"Patient held diabetic record issued"	0	0	1
652	93875	"C10E712"	14	"Insulin dependent diabetes mellitus with retinopathy"	0	0	1
378	95093	"8I83.00"	262	"Did not complete DESMOND diabetes structured educat program"	0	0	1
389	48310	"ZV6DA00"	142	"[V]Admitted for commencement of insulin"	0	0	1
74	10755	"F420600"	18973	"Non proliferative diabetic retinopathy"	0	0	1
433	109222	"67HA.00"	7390	"Lifestyle education for diabetes"	0	0	1
334	31240	"9OL7.00"	44530	"Diabetes monitor.verbal invite"	0	0	1
202	45250	"ZL22500"	450	"Under care of diabetic liaison nurse"	0	0	1
537	44443	"C108500"	237	"Insulin dependent diabetes mellitus with ulcer"	0	0	1
56	26603	"9OL2.00"	2972	"Refuses diabetes monitoring"	0	0	1
336	53634	"R054200"	136	"[D]Gangrene of toe in diabetic"	0	0	1
226	93491	"9OLJ.00"	383	"DAFNE diabetes structured education programme completed"	0	0	1
535	54846	"9OL9.00"	235	"Diabetes monitoring deleted"	0	0	1
628	106351	"9m09.00"	17	"Excluded from diabetic retinop screen as no longer diabetic"	0	0	1
145	28574	"9h4..00"	10119	"Exception reporting: diabetes quality indicators"	0	0	1
750	101735	"C10E212"	1	"Insulin-dependent diabetes mellitus with neurological comps"	0	0	1
330	50175	"66AW.00"	35015	"Diabetic foot risk assessment"	0	0	1
497	57389	"93C4.00"	2424	"Patient consent given for addition to diabetic register"	0	0	1
675	60499	"C108600"	12	"Insulin dependent diabetes mellitus with gangrene"	0	0	1
25	30648	"9N4p.00"	58241	"Did not attend diabetic retinopathy clinic"	0	0	1
142	8836	"66AR.00"	362968	"Diabetes management plan given"	0	0	1
92	2342	"F372.12"	10434	"Diabetic neuropathy"	0	0	1
