v1	medcodeid	cleansedreadcode	observations	term	snomedctconceptid	Typei	Typeii	unknowntype
1007	8459531000006110	" "	300	"Diabetes monitoring invitation email"	1083111000000108	0	0	1
876	8239391000006115	" "	100	"Insulin/carbohydrate ratio - lunch"	768201000000108	0	0	1
636	297964010	"F440700"	200	"Diabetic iritis"	193489006	0	0	1
513	5192411000006114	" "	900	"Diabetic monitoring status"	243860001	0	0	1
621	1799591000000110	"8BAj.00"	4000	"Informed dissent not to carry insulin passport"	805021000000104	0	0	1
351	548121000000116	"9NiC.00"	500	"Did not attend DAFNE diabetes structured education programme"	307141000000102	0	0	1
938	12490031000006110	" "	10	"Patient offered diabetes structured education programme"	416672007	0	0	1
298	282570016	"8A13.00"	3000	"Diabetic stabilisation"	182781000	0	0	1
1470	1841451000006115	" "	3	"Diabetic foot screening invitation"	1841451000006104	0	0	1
701	1784711000006118	"8IF..00"	100	"Professional judgement not to engage patient with insulin alert requirements"	805521000000106	0	0	1
473	297758012	"F420z00"	20000	"Diabetic retinopathy NOS"	4855003	0	0	1
475	1573121000006119	" "	4000	"Insulin started by GP"	1573121000006103	0	0	1
711	2159854012	"918T.00"	3000	"Diabetes key contact"	932321000000105	0	0	1
1174	6843971000006117	" "	50	"Attended diabetes structured education program"	413597006	0	0	1
147	264726017	"66AR.00"	600000	"Diabetes management plan given"	170742000	0	0	1
540	1757221000006115	" "	60	"Suspected diabetes mellitus"	1757221000006104	0	0	1
1012	8099131000006117	" "	6	"Did not complete dose adjustment for normal eating diabetes structured education programme"	306961000000101	0	0	1
1457	1063651000006112	" "	1	"Adverse reaction to Isophane Insulin (Human, Prb)"	1063651000006108	0	0	1
432	1479985016	"679c.00"	10000	"Insulin administration education"	385793003	0	0	1
51	546221000000114	"9OLK.00"	10000	"DESMOND diabetes structured education programme completed"	306501000000105	0	0	1
258	308071000000112	"93C4.00"	4000	"Patient consent given for addition to diabetic register"	202151000000105	0	0	1
1168	719541000006111	"C10A000"	4	"Malnutrition-related diabetes mellitus with coma"	420996007	0	0	1
1173	12010081000006120	" "	1	"Provision of patient held diabetes record declined"	763782001	0	0	1
1153	8267041000006114	" "	20	"Diabetes monitoring injection site check declined"	819301000000105	0	0	1
1079	11633211000006112	" "	10	"Atypical diabetes mellitus"	530558861000132096	0	0	1
748	1162341000000110	"66Ar.00"	800	"Insulin treatment stopped"	708000007	0	0	1
431	2116661000000116	"8Hlc.00"	80000	"Referral to community diabetes service"	811391000000104	0	0	1
1239	6630561000006115	" "	70	"Diabetic macular oedema not clinically significant"	399864000	0	0	1
1287	933231000006118	"C10yz97"	1	"Hypo states in diabetes"	658061000000102	0	0	1
1154	356111014	" "	5	"Insulin-dependent diabetes mellitus secretory diarrhoea syndrome"	237618001	0	0	1
746	2817479019	" "	100	"Hyperglycaemic crisis in diabetes mellitus"	441656006	0	0	1
208	299991000000112	"8HTi.00"	10000	"Referral to multidisciplinary diabetic clinic"	198831000000108	0	0	1
953	8082951000006116	" "	90	"Attended diabetes education and self management for ongoing and newly diagnosed structured programme"	276651000000107	0	0	1
837	2249871000000113	"9NJy000"	100	"In-house diabetic foot screening first appointment"	870701000000106	0	0	1
495	1876341000006117	" "	20000	"Diabetic 3 month review"	1876341000006101	0	0	1
1178	1858831000006115	" "	3	"AURAS-AF - more time needed to decide on diabetes status"	1858831000006104	0	0	1
451	8060931000006110	" "	4000	"No diabetic retinopathy"	201141000000103	0	0	1
520	2380481000000115	"66o1.00"	100	"Enquiry about diabetic erectile dysfunction declined"	928851000000109	0	0	1
1445	1140951000006112	" "	1	"Adverse reaction to Insulin Isophane Bovine"	1140951000006108	0	0	1
279	1627291000006113	"8I83.00"	2000	"Did not complete DESMOND diabetes structured education programme"	306991000000107	0	0	1
1451	1140501000006116	" "	1	"Adverse reaction to Soluble Insulin"	1140501000006100	0	0	1
1248	1550571000000114	"C10A.11"	30	"Jamaica type diabetes"	75524006	0	0	1
1062	12085021000006112	" "	20	"Preproliferative diabetic retinopathy of right eye"	769181007	0	0	1
19	1628621000006112	"9NiD.00"	10000	"Did not attend DESMOND diabetes structured education programme"	307171000000108	0	0	1
124	616461000006112	"C104.00"	10000	"Diabetes mellitus with renal manifestation"	127013003	0	0	1
315	616971000006114	"N030100"	8000	"Diabetic Charcot's arthropathy"	201724008	0	0	1
805	1628311000006111	"8I84.00"	700	"Did not complete XPERT diabetes structured education programme"	307021000000105	0	0	1
1165	12115561000006116	" "	300	"Remote diabetes structured education and support programme commenced"	1097131000000105	0	0	1
1211	1013681000006117	" "	1	"Adverse reaction to Short-Acting Insulin Preparations"	1013681000006101	0	0	1
1260	6022931000006112	" "	7	"Diabetic macular edema"	312912001	0	0	1
514	2532967014	"2BBm.00"	4000	"Clinically significant macular oedema of right eye due to diabetes mellitus"	769221001	0	0	1
717	881481000006117	"C104.99"	1000	"Diabetes + nephropathy"	127013003	0	0	1
1326	1891061000006117	" "	1	"Participant in Diabetes Aerobic and Resistance Exercise study"	1891061000006101	0	0	1
75	285223014	"9N1Q.00"	4000000	"Seen in diabetic clinic"	185229005	0	0	1
423	2176771000000110	"8IEQ.00"	1000	"Referral to community diabetes specialist nurse declined"	838731000000104	0	0	1
626	1583891000006119	" "	100	"Ineligib for diab. eye screen: No longer categorised as diabetic"	1583891000006103	0	0	1
1367	6546431000006119	" "	10	"On examination - Right diabetic foot at moderate risk"	394682001	0	0	1
1499	1853141000006111	" "	2	"In-house diabetes foot screening"	1853141000006107	0	0	1
1043	354651000006115	"U602312"	30	"[X] Adverse reaction to insulins"	293177002	0	0	1
1001	5127801000006119	" "	3	"Insulin lipoatrophy"	238901000	0	0	1
1064	12085181000006112	" "	9	"Moderate non-proliferative diabetic retinopathy of right eye"	769185003	0	0	1
1214	8240001000006116	" "	50	"Mean total daily insulin dose"	769581000000107	0	0	1
795	856771000006110	" "	2000	"Patient has been told has diabetes"	856771000006106	0	0	1
439	1744461000006117	" "	300	"Self-administration of insulin"	1744461000006101	0	0	1
1332	1133641000006111	" "	1	"Adverse reaction to Porcine Neutral Insulin"	1133641000006107	0	0	1
71	139121000000119	"9h42.00"	400000	"Excepted from diabetes quality indicators - informed dissent"	716031000000106	0	0	1
1151	12224731000006112	" "	60	"Moderate non-proliferative diabetic retinopathy"	312904009	0	0	1
588	8099311000006114	" "	200	"Did not attend diabetes education and self management for ongoing and newly diagnosed structured programme"	307171000000108	0	0	1
917	292503016	"C105z00"	300	"Diabetes mellitus NOS with ophthalmic manifestation"	25093002	0	0	1
1493	8240511000006110	" "	1	"H/O: secondary diabetes mellitus"	771571000000102	0	0	1
1372	6866901000006111	" "	5	"On examination - right eye stable treated proliferative diabetic retinopathy"	414910007	0	0	1
505	1177721000000112	"66As.00"	4000	"Diabetic on subcutaneous treatment"	527691000000107	0	0	1
181	2159980012	"2BBX.00"	70000	"Maculopathy of left eye with diabetes mellitus"	769245002	0	0	1
216	1734281000000117	"66Au.00"	80000	"Diabetic erectile dysfunction review"	473209001	0	0	1
1234	6041341000006114	" "	5	"Focal diabetic maculopathy"	314011005	0	0	1
515	736791000000117	"9m06.00"	3000	"Excluded from diabetic retinopathy screening as deceased"	374631000000101	0	0	1
659	306110015	"L180300"	400	"Diabetes mellitus during pregnancy - baby not yet delivered"	199227004	0	0	1
1360	6030001000006116	" "	10	"Insulin-dependent diabetes without complication"	313435000	0	0	1
148	2115761000000117	"661N400"	50000	"Diabetes self-management plan review"	810961000000103	0	0	1
606	1842001000006118	" "	10000	"Diabetic annual review by practice nurse"	1842001000006102	0	0	1
308	2159978018	"2BBV.00"	20000	"O/E - left eye proliferative diabetic retinopathy"	408414006	0	0	1
1059	12086331000006116	" "	200	"Diabetic maculopathy of left eye"	769245002	0	0	1
672	905621000006113	" "	6000	"[RFC] Diabetes"	905621000006109	0	0	1
1340	8428521000006115	" "	50	"Seen in hospital diabetes antenatal clinic"	1054221000000100	0	0	1
299	65526011	"F381311"	700	"Diabetic amyotrophy"	39058009	0	0	1
769	546291000000112	"9OLL.00"	7000	"XPERT diabetes structured education programme completed"	306531000000104	0	0	1
1463	12085171000006110	" "	3	"Moderate nonproliferative diabetic retinopathy of right eye"	769185003	0	0	1
991	1132301000006114	" "	10	"Adverse reaction to Insulin Soluble Human"	1132301000006105	0	0	1
178	452078013	"7L19800"	100000	"Subcutaneous injection of insulin"	308755006	0	0	1
210	1707491000000116	"1JL..00"	20000	"Suspected diabetes mellitus"	473127005	0	0	1
1220	8240801000006114	" "	40	"Insulin sensitivity factor"	771891000000101	0	0	1
1172	7565341000006118	" "	200	"Diabetes clinic"	702706001	0	0	1
499	1696331000006114	" "	200	"Diabetic dermopathy"	238982009	0	0	1
30	1780286017	"66Ac.00"	900000	"Diabetic peripheral neuropathy screening"	401081006	0	0	1
376	448261010	"9N2i.00"	20000	"Seen by diabetic liaison nurse"	305738006	0	0	1
562	2548430017	"8Hg4.00"	2000	"Discharged from care of diabetes specialist nurse"	417467000	0	0	1
1204	1127141000006114	" "	2	"Adverse reaction to Insulin (Zinc Suspension, Bovine)"	1127141000006105	0	0	1
171	1484867016	"F420600"	90000	"Non proliferative diabetic retinopathy"	390834004	0	0	1
205	309179013	"M271100"	30000	"Neuropathic diabetic ulcer - foot"	201251005	0	0	1
429	616581000006115	"C107100"	600	"Diabetes mellitus, adult, + peripheral circulatory disorder"	422166005	0	0	1
643	771391000006117	"C108D00"	100	"Insulin dependent diabetes mellitus with nephropathy"	127013003	0	0	1
56	1488441010	"8B3l.00"	600000	"Diabetes medication review"	394725008	0	0	1
1061	913801000006118	"C10EC12"	20	"Insulin dependent diabetes mellitus with polyneuropathy"	49455004	0	0	1
729	8267081000006115	" "	90	"Diabetes monitoring injection site not checked"	819331000000104	0	0	1
952	1877371000006111	" "	20	"Diabetes clinical management plan no longer in place"	1877371000006107	0	0	1
1409	6041411000006117	" "	5	"Ischaemic diabetic maculopathy"	314014002	0	0	1
134	2549778010	"9N0m.00"	10000	"Seen in diabetic nurse consultant clinic"	417566006	0	0	1
899	292626017	"C10zz00"	300	"Diabetic complication"	74627003	0	0	1
136	459705019	"1I0..00"	30000	"Diabetes mellitus excluded"	315216001	0	0	1
1435	6670981000006118	" "	3	"Diabetic wet gangrene of the foot"	402864004	0	0	1
573	144251000006113	"4494.00"	2000	"Serum insulin - C-polypeptide level"	1015231000000107	0	0	1
1448	2900951000006115	" "	2	"Diabetic eye disease"	25093002	0	0	1
787	8259591000006113	" "	200	"Referral to diabetic clinic"	809391000000101	0	0	1
911	1916521000006118	" "	10000	"Access to online patient diabetes education given"	1916521000006102	0	0	1
69	1824571000006112	" "	10000	"Referral to walking away from diabetes programme"	1824571000006108	0	0	1
122	309737011	"N030000"	1000	"Diabetic cheiroarthropathy"	201723002	0	0	1
546	856661000006112	" "	200	"Left diabetic foot active ulceration"	856661000006108	0	0	1
361	292622015	"C10z.00"	600	"Diabetes mellitus with unspecified complication"	74627003	0	0	1
692	178800012	"C110.11"	60	"Insulin coma"	111558006	0	0	1
1118	8242811000006111	" "	1	"No H/O: diabetic nephropathy"	777591000000108	0	0	1
633	913711000006112	"C10E912"	700	"Insulin dependent diabetes maturity onset"	73211009	0	0	1
229	547061000000110	"8Hj5.00"	80000	"Referral to XPERT diabetes structured education programme"	306771000000105	0	0	1
1044	305158015	"Kyu0300"	100	"Diabetic glomerulopathy"	309426007	0	0	1
237	857971000006110	" "	10000	"Right non-proliferative diabetic retinopathy"	857971000006106	0	0	1
282	2533107019	"66Af.00"	50000	"Patient diabetes education review"	385805005	0	0	1
448	456686014	"9NM0.00"	80000	"Attending diabetes clinic"	312888008	0	0	1
1396	3513752015	" "	1	"Absence of lower limb due to diabetes mellitus"	735200002	0	0	1
884	1704791000006112	"9m0D.00"	200	"Excluded from diabetic retinopathy screening as learning disability"	374841000000109	0	0	1
823	356119011	" "	5	"Abnormal metabolic state in diabetes mellitus"	237620003	0	0	1
988	8099341000006113	" "	80	"Did not attend expert patient education versus routine treatment diabetes structured education programme"	307201000000109	0	0	1
816	1227832019	"ZV77111"	300	"[V]Screening for diabetes mellitus (DM)"	171183004	0	0	1
289	308360012	"M037200"	3000	"Cellulitis in diabetic foot"	200687002	0	0	1
1253	6630591000006111	" "	1	"Diabetic retinal venous beading"	399866003	0	0	1
1212	616231000006119	"L180200"	20	"Diabetes mellitus in the puerperium - baby delivered during current episode of care"	199226008	0	0	1
1404	1137501000006119	" "	1	"Adverse reaction to Human Neutral Soluble Insulin"	1137501000006103	0	0	1
328	640011000006114	" "	700	"Emergency Diabetic Admission since last appointment"	640011000006105	0	0	1
1197	771351000006111	"C108600"	20	"Insulin dependent diabetes mellitus with gangrene"	422275004	0	0	1
731	547331000000115	"8I81.00"	1000	"Did not complete diabetes structured education programme"	306931000000106	0	0	1
80	21631000000117	"9OL..00"	1000000	"Diabetes monitoring administration"	713671000000109	0	0	1
9	1767201000006118	"67IJ100"	20000	"Diabetic pre-pregnancy education"	394684000	0	0	1
992	5933621000006118	" "	8	"Perceived control of insulin-dependent diabetes"	304752002	0	0	1
406	856551000006114	" "	10000	"Diabetic - hospital eye check"	856551000006105	0	0	1
235	483886014	"C10C.11"	3000	"Maturity onset diabetes in youth"	609561005	0	0	1
599	910211000006114	" "	200	"[RFC] Diabetic health promotion"	910211000006105	0	0	1
12	2159974016	"2BBQ.00"	400000	"O/E - left eye background diabetic retinopathy"	408410002	0	0	1
955	733161000000116	"2BBr.00"	90	"Impaired vision due to diabetic retinopathy"	373041000000101	0	0	1
1026	285759019	"9OL9.00"	400	"Diabetes monitoring deleted"	185761008	0	0	1
1366	6546321000006111	" "	7	"On examination - Left diabetic foot at low risk"	394675000	0	0	1
269	307661000000114	"8HHy.00"	8000	"Referral to diabetic register"	201961000000104	0	0	1
968	857431000006116	" "	100	"Right diabetic maculopathy"	857431000006100	0	0	1
306	1856651000006110	" "	6000	"Diabetes monitoring in secondary care"	1856651000006106	0	0	1
1006	1128561000006115	" "	1	"Adverse reaction to Insulin Lispro Protamine Suspension"	1128561000006104	0	0	1
483	292496015	"C104z00"	1000	"Diabetes mellitus with nephropathy NOS"	127013003	0	0	1
21	1484886012	"2BBK.00"	1000000	"O/E - no left diabetic retinopathy"	390853009	0	0	1
987	616571000006118	"C10y100"	1000	"Diabetes mellitus, adult, + other specified manifestation"	73211009	0	0	1
1225	396661000006115	"Cyu2100"	3	"Malnutrition-related diabetes mellitus with multiple complications"	190411003	0	0	1
377	278718015	"7L10000"	1000	"Continuous subcutaneous infusion of insulin"	180178009	0	0	1
304	1780325018	"449E.00"	6000	"Plasma insulin C-peptide level"	999351000000102	0	0	1
808	7257031000006118	" "	200	"Does rotate site of insulin injection"	441922002	0	0	1
1191	8098241000006111	" "	10	"Attended XPERT (expert patient education versus routine treatment) diabetes structured education programme"	306401000000106	0	0	1
931	913891000006113	"C10EF12"	10	"Insulin dependent diabetes mellitus with diabetic cataract"	43959009	0	0	1
772	82373015	"F372.11"	2000	"Diabetic polyneuropathy"	49455004	0	0	1
1138	3525931000006110	" "	3	"Insulin shock therapy"	63105004	0	0	1
1350	1025241000006118	" "	3	"Adverse reaction to Insulin Aspart"	1025241000006102	0	0	1
1494	3634971000006115	" "	2	"Insulin pump"	69805005	0	0	1
10	216201011	"68A7.00"	5000000	"Diabetic retinopathy screening"	134395001	0	0	1
863	1673601000006110	" "	100	"Ineligibility for diabetic eye screening: Terminal illness"	1673601000006106	0	0	1
756	457157017	"ZV6DA00"	200	"[V]Admitted for commencement of insulin"	345041000000101	0	0	1
399	547191000000117	"9NiA.00"	20000	"Did not attend diabetes structured education programme"	306861000000107	0	0	1
1020	5231271000006117	" "	3	"Insulin used"	246491008	0	0	1
754	2532974016	"8CP2.00"	700	"Transition of diabetes care options discussed"	415744000	0	0	1
1410	1132291000006113	" "	2	"Adverse reaction to Soluble Insulin (Bovine, highly purified)"	1132291000006109	0	0	1
945	13751000006117	"C108y00"	300	"Other specified diabetes mellitus with multiple comps"	385041000000108	0	0	1
1132	1131211000006113	" "	1	"Adverse reaction to Insulin zinc suspension mixed bovine"	1131211000006109	0	0	1
1066	12085121000006114	" "	1	"Mild nonproliferative diabetic retinopathy of left eye"	769184004	0	0	1
84	1704731000006113	"9m07.00"	2000	"Excluded from diabetic retinopathy screening as under care of ophthalmologist"	374661000000106	0	0	1
567	292512019	"C106z00"	2000	"Diabetes mellitus NOS with neurological manifestation"	422088007	0	0	1
1030	13811000006110	"C10zy00"	30	"Other specified diabetes mellitus with unspecified comps"	74627003	0	0	1
1133	6516331000006118	" "	90	"DNA - Did not attend diabetic clinic"	390922008	0	0	1
1399	8098311000006115	" "	2	"DAFNE (dose adjustment for normal eating) diabetes structured education programme completed"	306471000000103	0	0	1
1205	6348911000006117	" "	300	"Diabetic foot ulcer"	371087003	0	0	1
958	292488013	"C103y00"	30	"Coma associated with diabetes mellitus"	420662003	0	0	1
261	285752011	"9OL2.00"	6000	"Refuses diabetes monitoring"	185754009	0	0	1
1357	8242331000006114	" "	30	"Diabetic retinopathy detected by national screening programme"	775841000000109	0	0	1
897	5634901000006116	" "	100	"Diabetic foot"	280137006	0	0	1
39	205225016	"C104.11"	30000	"Diabetic nephropathy"	127013003	0	0	1
812	913651000006115	"C10E712"	200	"Insulin dependent diabetes mellitus with retinopathy"	4855003	0	0	1
288	189831000000116	"9M00.00"	6000	"Informed consent for diabetes national audit"	113131000000107	0	0	1
76	456646018	"8H7f.00"	100000	"Referral to diabetes nurse"	312856000	0	0	1
755	1135131000006110	" "	20	"Adverse reaction to Insulin Detemir"	1135131000006106	0	0	1
596	6613341000006113	" "	100	"Diabetic monitoring - injection sites abnormal"	398871001	0	0	1
108	2139121000000115	"8BAm.00"	30000	"Insulin passport checked"	821501000000107	0	0	1
687	8098861000006114	" "	500	"Referral to dose adjustment for normal eating diabetes structured education programme"	306701000000102	0	0	1
204	2159949019	"8HBH.00"	3000	"Diabetic retinopathy 6 month review"	408385003	0	0	1
238	297551015	"F372100"	10000	"Chronic painful diabetic neuropathy"	193184006	0	0	1
1055	12085761000006116	" "	30	"Diabetic macular oedema of left eye"	769218003	0	0	1
60	264724019	"66AQ.00"	300000	"Diabetes: shared care programme"	170775008	0	0	1
1278	84791000006110	"C108C11"	1	"Polyneuropathy due to diabetes mellitus type I"	713705003	0	0	1
699	354316011	"C314.11"	300	"Kidney disorder due to diabetes mellitus"	127013003	0	0	1
1419	2683591000006110	" "	1	"Unstable diabetes mellitus"	11530004	0	0	1
1313	719471000006119	"C10AW00"	1	"Malnutrit-related diabetes mellitus with unspec complics"	190411003	0	0	1
1422	6515211000006114	" "	6	"BDR - Background diabetic retinopathy"	390834004	0	0	1
140	1666931000000117	"2G5e.00"	100000	"O/E - Right diabetic foot at increased risk"	756391000000103	0	0	1
1376	8303811000006115	" "	5	"Frequency of hyperglycaemic episodes"	872121000000100	0	0	1
1291	771511000006116	"TB13100"	1	"Insulin-shock therapy with complication, without blame"	217063006	0	0	1
1070	356078011	" "	30	"Secondary endocrine diabetes mellitus"	237601000	0	0	1
417	1583921000006113	" "	600	"Ineligibility for diabetic eye screening: Deceased"	1583921000006109	0	0	1
1210	771401000006115	"C108C00"	20	"Insulin dependent diabetes mellitus with polyneuropathy"	49455004	0	0	1
1246	301611000000118	"66Ak.00"	100	"Diabetes monitoring lower risk albumin excretion"	199481000000100	0	0	1
657	8286851000006116	" "	100	"Education about diabetic retinopathy"	846721000000101	0	0	1
127	1784621000006118	"8IE9.00"	90000	"Referral to diabetes education and self management for ongoing and newly diagnosed structured programme declined"	781161000000107	0	0	1
358	913531000006111	"C10E312"	100	"Insulin dependent diabetes mellitus with multiple complicat"	385041000000108	0	0	1
1329	6761801000006113	" "	20	"On examination - left eye background diabetic retinopathy"	408410002	0	0	1
133	1754911000006114	"9h43.00"	7000	"Excepted from diabetes quality indicators: service unavailable"	750721000000102	0	0	1
679	282568013	"8A12.00"	700	"Diabetic crisis monitoring"	182780004	0	0	1
1426	1871821000006113	" "	90	"Lifestyle advice regarding risk of diabetes"	1871821000006109	0	0	1
1267	8099301000006111	" "	1	"Did not attend DAFNE (dose adjustment for normal eating) diabetes structured education programme"	307141000000102	0	0	1
935	1567721000006116	" "	3	"Adverse reaction to Insulin Human (Inhaled)"	1567721000006100	0	0	1
104	1484954015	"9N4I.00"	300000	"Did not attend diabetic clinic"	390922008	0	0	1
471	772181000006112	"C108800"	700	"Insulin dependent diabetes mellitus - poor control"	268519009	0	0	1
673	1839671000006113	" "	10000	"Diabetic short review"	1839671000006109	0	0	1
1109	856621000006118	" "	40	"Left proliferative diabetic retinopathy"	856621000006102	0	0	1
1019	292565014	"C108z00"	100	"Diabetes mellitus with multiple complications"	385041000000108	0	0	1
199	283709014	"8H7C.00"	40000	"Referral to diabetic liaison nurse"	308458007	0	0	1
480	4808921000006113	" "	500	"Diabetic neuropathic arthropathy"	201724008	0	0	1
319	285753018	"9OL3.00"	30000	"Diabetes monitoring default"	185755005	0	0	1
1441	3511972010	" "	2	"Diabetic education service"	734920002	0	0	1
586	6515171000006112	" "	2000	"Nonproliferative diabetic retinopathy"	390834004	0	0	1
93	401531012	"66AJ.00"	300000	"Diabetic - poor control"	268519009	0	0	1
745	468191000006114	"TJ23.00"	100	"Adverse reaction to insulins and antidiabetic agents"	430400006	0	0	1
40	1732691000000113	"66Aw.00"	50000	"Insulin dose"	775661000000106	0	0	1
59	1799301000000112	"8CE0200"	80000	"Insulin passport given"	804881000000105	0	0	1
869	1539131000006115	" "	400	"Referral for diabetic retinopathy screening"	1539131000006104	0	0	1
1160	719561000006110	"C10A600"	2	"Malnutrition-related diabetes mellitus with multiple comps"	190411003	0	0	1
95	2549901010	"9OLD.00"	50000	"Diabetic patient unsuitable for digital retinal photography"	417681008	0	0	1
1416	5809871000006117	" "	2	"Insulin allergy"	294714000	0	0	1
36	2159958014	"9NND.00"	600000	"Under care of diabetic foot screener"	408394009	0	0	1
105	646031000000112	"66Ap.00"	20000	"Insulin treatment initiated"	345041000000101	0	0	1
761	772151000006116	"C108900"	500	"Insulin dependent diabetes maturity onset"	73211009	0	0	1
1436	7068831000006114	" "	8	"Diabetes mellitus due to cystic fibrosis"	427089005	0	0	1
620	2160025013	"9b92000"	6000	"Diabetic medicine"	408475000	0	0	1
724	1784011000006116	"8CdD.00"	20	"Advised to maintain back up supply of insulin for subcutaneous injection"	783301000000106	0	0	1
710	309738018	"N030011"	200	"Diabetic cheiropathy"	201723002	0	0	1
789	881521000006117	"C10y.99"	300	"Diabetes + other complications"	658011000000104	0	0	1
1349	1745771000006118	" "	10	"Adverse reaction to Hypodermic Insulin Injection"	1745771000006102	0	0	1
835	2548633012	"8I57.00"	4000	"Provision of patient held diabetes record refused"	763782001	0	0	1
526	292617015	"C10y.00"	2000	"Diabetes mellitus with other specified manifestation"	74627003	0	0	1
149	1666911000000113	"2G5d.00"	100000	"O/E - Left diabetic foot at increased risk"	756381000000100	0	0	1
886	292489017	"C103z00"	100	"Diabetes mellitus NOS with ketoacidotic coma"	420422005	0	0	1
1088	12189891000006110	" "	20	"PDR - proliferative diabetic retinopathy"	59276001	0	0	1
767	1752811000000118	"1IA..00"	2000	"No evidence of diabetic nephropathy"	783901000000107	0	0	1
1300	1955171000006110	" "	1	"Keele ENHANCE trial - diabetic review"	1955171000006106	0	0	1
256	2159977011	"2BBT.00"	20000	"O/E - right eye proliferative diabetic retinopathy"	408413000	0	0	1
948	857411000006110	" "	100	"Right proliferative diabetic retinopathy"	857411000006106	0	0	1
1381	1103761000006114	" "	7	"Adverse reaction to Biphasic Insulin"	1103761000006105	0	0	1
976	8099281000006112	" "	6	"Did not attend dose adjustment for normal eating diabetes structured education programme"	307141000000102	0	0	1
898	8098351000006119	" "	70	"Expert patient education versus routine treatment diabetes structured education programme completed"	306531000000104	0	0	1
509	453055012	"2G5D.00"	700	"Foot abnormality - non-diabetes"	309598002	0	0	1
1231	8098341000006116	" "	40	"DESMOND (diabetes education and self management for ongoing and newly diagnosed) structured programme completed"	306501000000105	0	0	1
681	308110013	"Lyu2900"	400	"Pre-existing diabetes mellitus"	385051000000106	0	0	1
847	1823921000006119	" "	600	"Diabetes mellitus confirmed"	1823921000006103	0	0	1
618	643691000000114	"9kL..00"	10000	"Insulin initiation enhanced services administration"	344641000000106	0	0	1
223	8098931000006110	" "	7000	"Referral to diabetes education and self management for ongoing and newly diagnosed diabetes structured programme"	306741000000104	0	0	1
442	300021000000110	"9N1o.00"	8000	"Seen in multidisciplinary diabetic clinic"	198841000000104	0	0	1
1238	356118015	" "	10	"Diabetes-deafness syndrome maternally transmitted"	237619009	0	0	1
587	354509014	"K08yA00"	1000	"Proteinuric diabetic nephropathy"	236500003	0	0	1
1060	913831000006114	"C10ED12"	50	"Insulin dependent diabetes mellitus with nephropathy"	127013003	0	0	1
83	98476015	"F420100"	80000	"Proliferative diabetic retinopathy"	59276001	0	0	1
120	264677018	"66A1.00"	100000	"Initial diabetic assessment"	170743005	0	0	1
1462	3690681000006114	" "	4	"DM - Diabetes mellitus"	73211009	0	0	1
265	285751016	"9OL1.00"	200000	"Attends diabetes monitoring"	185753003	0	0	1
1134	771491000006110	"C108100"	200	"Insulin-dependent diabetes mellitus with ophthalmic comps"	25093002	0	0	1
800	616451000006110	"C106.13"	200	"Diabetes mellitus with polyneuropathy"	49455004	0	0	1
364	913681000006111	"C10E812"	300	"Insulin dependent diabetes mellitus - poor control"	268519009	0	0	1
1045	1960611000006113	" "	50	"Diabetic foot examination - action required"	1960611000006109	0	0	1
168	2014951000006115	" "	1000	"New diabetic foot ulcer"	2014951000006104	0	0	1
766	787101000006114	"C107300"	100	"IDDM with peripheral circulatory disorder"	421895002	0	0	1
