Codelist_Name,ERAP_Number,Project_Title,Author,Coding System,Year_Created,DOI_Publication,Path_to_Codelist,Codelist on Github
Anorexia Nervosa - Eating disorder,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Outcomes/Min_CL_Eatingdisorder_Anorexianervosa_diagnosis_20240304.txt,Yes
Anticoagluation,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/Anticoagulation_with_SNOMED_Update.csv,Yes
Anticyclic Citrunillinated Peptide Ab Level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/AntiCyclicCitrullinatedPeptideAbLevel_with_SNOMED_Update.csv,Yes
Antiphospholipid Syndrome,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/AntiphospholipidSyndrome_with_SNOMED_Update.csv,Yes
Antithrombin Level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/Antithrombin_with_SNOMED_Update.csv,Yes
Anxiety - Diagnosis,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Outcomes/Min_CL_AnxietyDiagnosis_20240304.txt,Yes
Anxiety - Referral,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Outcomes/Min_CL_AnxietyReferral_20240304.txt,Yes
Asthma,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Conditions/Asthma_QOF_Codelist.csv,Yes
Asthma,22-000453,ID Fracture,Margaret Smith,Gold,2024,,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_asthma.csv,Yes
Asthma Control Questionnaire,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/AsthmaControlQuestionnaire_with_SNOMED_Update.csv,Yes
Asthma control test score,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/AshtmaControlTestScore_with_SNOMED_Update.csv,Yes
"Asthma, Chronic Obstructive Pulmonary Disease",22-000453,ID Fracture,Margaret Smith,Aurum,2024,,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_Asthma%20or%20COPD%20%20Aurum%20VF%2027%20March%202022.csv,Yes
Atrial Fibrillation,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Conditions/Atrial_fibrillation_QOF_Codelist.csv,Yes
Atrial Fibrillation,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Atrial%20Arrhythmia/Aurum_AF_codelist_010422.txt,Yes
Atrial Fibrillation,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Atrial%20Arrhythmia/Gold_AF_codelist_010422.txt,Yes
Back Pain,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Backpain.txt,Yes
Bariatric Surgery,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Exposures/Min_CL_Bariatricsurgery.txt,Yes
Basophil Count,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/BasophilCount_with_SNOMED_Update.csv,Yes
Basophil Percentage,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/BasophilPercentage_with_SNOMED_Update.csv,Yes
Bipolar - Diagnosis,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Outcomes/Min_CL_Bipolar_diagnosis_20240304.txt,Yes
Bipolar - Referral,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Outcomes/Min_CL_Bipolar_referral_20240304.txt,Yes
Bleed - Any,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Bleeding%20and%20negative%20outcomes/Aurum_Any_Bleed_codelist_220323.txt,Yes
Bleed - Any,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Bleeding%20and%20negative%20outcomes/Gold_Any_Bleed_codelist_220323.txt,Yes
Bleed - Major,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Bleeding%20and%20negative%20outcomes/Aurum_Major_Bleed_codelist_230323.txt,Yes
Bleed - Major,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Bleeding%20and%20negative%20outcomes/Gold_Major_Bleed_codelist_230323.txt,Yes
Bleeding Disorders,22_001273,Evaluation of Anaemia in a Primary Care Population,Sarah Haynes,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/SH_AK_Bleeding_Disorders.txt,Yes
Blood Glucose,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Bloodglucose.txt,Yes
Blood Glucose - Fasting,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Fastingbloodglucose.txt,Yes
Blood Oxygen Saturation,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/BloodOxygenSaturation_with_SNOMED_Update.csv,Yes
Body Mass Index (BMI),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/BMI_with_SNOMED_Update.csv,Yes
Body Mass Index (BMI),22-001836,CHD Anaemia,"Cynthia Wright Drakesmith, Margaret Smith",Gold,2024,,https://github.com/ndpchs-cprd/22_001836_CHD_Anaemia/blob/main/Codelists/BMI.csv,Yes
Body Mass Index (BMI),22-000453,ID Fracture,Margaret Smith,Aurum,2024,,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_bmi.csv,Yes
Body Mass Index (BMI),22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Exposures/Min_BMI_20240220.txt,Yes
Body Mass Index (BMI) - Continuous,22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/CWD_CL_BMI_Continuous_20241203.txt,Yes
Bronchiectasis,22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/AK_CL_Bronchiectasis.txt,Yes
Bulimia nervosa - Eating disorder,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Outcomes/Min_CL_Eatingdisorder_Bulimianervosa_diagnosis_20240304.txt,Yes
C- Reactive Proteint (CRP),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/CRP_with_SNOMED_Update.csv,Yes
C- Reactive Proteint (CRP),21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Tests/CRP_Aurum181022.txt,Yes
C- Reactive Proteint (CRP),21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Tests/CRP_Gold181022.txt,Yes
C- Reactive Proteint (CRP),22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_CRP.txt,Yes
CA125 Level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/CA125_with_SNOMED_Update.csv,Yes
CA19 Level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/CA19_with_SNOMED_Update.csv,Yes
Cancer,22-000453,ID Fracture,Margaret Smith,Aurum,2024,,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_Cancer%20Aurum%20VF%2027%20March%202022.csv,Yes
Cancer,22-000453,ID Fracture,Margaret Smith,Gold,2024,,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_cancer.csv,Yes
Cancer,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Cancer.txt,Yes
Cancer - Heamotological,21_000380,Respiratory infection related cardiovascular disease,Brian Nicholson,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Cancers/BN_Haematological_cancers.txt,Yes
Cancer - Solid,21_000380,Respiratory infection related cardiovascular disease,Brian Nicholson,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Cancers/BN_solid_cancers.txt,Yes
Cannabis,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/Cannibis_with_SNOMED_Update.csv,Yes
Carcinoembryonic antigen level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/CarcinoembryonicAntigen_with_SNOMED_Update.csv,Yes
Cardiovascular Disease (CVD),22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_CVD.txt,Yes
Cellulitus,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Aurum_Cellulitis_codelist_300323.txt,Yes
Cellulitus,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Gold_Cellulitis_codelist_300323.txt,Yes
Cholesterol,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Tests/AurumCholesterol141022.txt,Yes
Cholesterol,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Tests/Gold_Cholesterol_codes141022.txt,Yes
Cholesterol,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Cholesterol.txt,Yes
Cholesterol - Subgroups,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Tests/AurumCholesterolSubgroups081122.txt,Yes
Cholesterol - Subgroups,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Tests/Gold_Cholesterol_codes_subtypes081122.txt,Yes
Chronic Heart Disease (CHD),21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Chronic%20Heart%20Disease/CHD_Aurum_prelim_v1_020322.txt,Yes
Chronic Heart Disease (CHD),21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Chronic%20Heart%20Disease/CHD_Gold_prelim_V1_020322.txt,Yes
Chronic Kidney Disease (CKD),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Conditions/Chronic_Kidney_Disease_QOF_Codelist.csv,Yes
Chronic Kidney Disease (CKD),22-000453,ID Fracture,Margaret Smith,Gold,2024,,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_ckd.csv,Yes
Chronic Kidney Disease (CKD) - (3-5),22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/AK_CL_CKD_3to5.txt,Yes
Chronic Liver Disease,22-000453,ID Fracture,Margaret Smith,Aurum,2024,,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_Chronic%20liver%20disease%20Aurum%20VF%206%20Mar%202022.csv,Yes
Chronic Liver Disease,22-000453,ID Fracture,Margaret Smith,Gold,2024,,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_chronic%20liver%20disease.csv,Yes
Chronic Obstructive Pulmonary Disease (COPD),22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/AK_CL_COPD_updated.txt,Yes
Chronic Obstructive Pulmonary Disease (COPD),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Conditions/COPD_QOF_Codelist.csv,Yes
Chronic Obstructive Pulmonary Disease (COPD),21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/COPD/Aurum_COPD_codelist.txt,Yes
Chronic Obstructive Pulmonary Disease (COPD),21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/COPD/Gold_COPD_codelist.txt,Yes
Chronic Obstructive Pulmonary Disease (COPD),22-000453,ID Fracture,Margaret Smith,Gold,2024,,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_copd.csv,Yes
Chronic Obstructive Pulmonary Disease (COPD),22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_COPD.txt,Yes
Chron'ss Disease,22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/VM_Crohns.txt,Yes
Cirrhosis,22_001273,Evaluation of Anaemia in a Primary Care Population,Suzanne Maynard,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/SM_CL_cirrhosis.txt,Yes
Cirrhosis - Type,22_001273,Evaluation of Anaemia in a Primary Care Population,Suzanne Maynard,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/SM_CL_cirrhosis_type20250224.txt,Yes
Coeliac Disease,22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/VM_VL_Coeliac.txt,Yes
Congenital Heart Disease,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/CongenitalHeartDisease_with_SNOMED_Update.csv,Yes
Congenital Heart Disease (CHD),22-001836,CHD Anaemia,"Cynthia Wright Drakesmith, Margaret Smith",Gold,2024,,https://github.com/ndpchs-cprd/22_001836_CHD_Anaemia/blob/main/Codelists/CHD.csv,Yes
Congenital Heart Disease (CHD) - HES ONS Classes,22-001836,CHD Anaemia,"Cynthia Wright Drakesmith, Margaret Smith",Gold,2024,,https://github.com/ndpchs-cprd/22_001836_CHD_Anaemia/blob/main/Codelists/HES_ONS_CHD_classes_20230913.csv,Yes
Constipation,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Bleeding%20and%20negative%20outcomes/Aurum_constipation_codelist_220323.txt,Yes
Constipation,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Bleeding%20and%20negative%20outcomes/Gold_constipation_codelist_220323.txt,Yes
Coronary Heart Disease (CHD),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Conditions/Coronary_Heart_Disease_QOF_Codelist.csv,Yes
Coronary Heart Disease (CHD),22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_CHD.txt,Yes
Creatinine clearance,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/CreatinineClearance_with_SNOMED_Update.csv,Yes
Dementia,22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/IE_CL_Dementia_updated.txt,Yes
Dementia,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Conditions/Dementia_QOF_Codelist.csv,Yes
Dementia,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Dementia/Aurum_Dementia_codelist_030322.txt,Yes
Dementia,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Dementia/Gold_Dementia_codelist_030322.txt,Yes
Dementia,22-000453,ID Fracture,Margaret Smith,Aurum,2024,,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_Dementia%20Aurum%20VF%206%20Mar%202022.csv,Yes
Dementia,22-000453,ID Fracture,Margaret Smith,Gold,2024,,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_Dementia.csv,Yes
Dementia,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Dementia.txt,Yes
Depression,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Conditions/Depression_QOF_Codelist.csv,Yes
Depression - Diagnosis,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Outcomes/Min_CL_DepressionDiagnosis_20240304.txt,Yes
Depression - Referral,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Outcomes/Min_CL_DepressionReferral_20240304.txt,Yes
Depression screening using questions,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/DepressionScreeningUsingQuestions_with_SNOMED_Update.csv,Yes
Diabetes,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Diabetes/Aurum_Diabetes_codelist_100322.txt,Yes
Diabetes,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Diabetes/Gold_Diabetes_codelist_100322.txt,Yes
Diabetes,22-000453,ID Fracture,Margaret Smith,Aurum,2024,,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_diabetes.csv,Yes
Diabetes,22-000453,ID Fracture,Margaret Smith,Gold,2024,,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_diabetes.csv,Yes
Diabetes,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Diabetes.txt,Yes
Diabetes,22_001273,Evaluation of Anaemia in a Primary Care Population,Suzanne Maynard,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/FINAL_CL_diabetes.txt,Yes
Diabetes - Type 1,22-001836,CHD Anaemia,"Cynthia Wright Drakesmith, Margaret Smith",Gold,2024,,https://github.com/ndpchs-cprd/22_001836_CHD_Anaemia/blob/main/Codelists/Diabetes_Type1.csv,Yes
Diabetes - Type 2,22-001836,CHD Anaemia,"Cynthia Wright Drakesmith, Margaret Smith",Gold,2024,,https://github.com/ndpchs-cprd/22_001836_CHD_Anaemia/blob/main/Codelists/Diabetes_Type2.csv,Yes
Diabetes (Type 2),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Conditions/Diabetes_Type2_QOF_Codelist.csv,Yes
Diastolic blood pressure,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/DiastolicBP_with_SNOMED_Update.csv,Yes
