readcode	readterm	medcode
"B01y.00"	"Malignant neoplasm of other sites of tongue"	41530
"B01z.00"	"Malignant neoplasm of tongue NOS"	40557
"B02..00"	"Malignant neoplasm of major salivary glands"	20292
"B020.00"	"Malignant neoplasm of parotid gland"	4388
"B021.00"	"Malignant neoplasm of submandibular gland"	51786
"B022.00"	"Malignant neoplasm of sublingual gland"	70928
"B02y.00"	"Malignant neoplasm of other major salivary glands"	70696
"B02z.00"	"Malignant neoplasm of major salivary gland NOS"	50475
"B03..00"	"Malignant neoplasm of gum"	43400
"B030.00"	"Malignant neoplasm of upper gum"	32024
"B031.00"	"Malignant neoplasm of lower gum"	49360
"B03y.00"	"Malignant neoplasm of other sites of gum"	101753
"B03z.00"	"Malignant neoplasm of gum NOS"	93218
"B04..00"	"Malignant neoplasm of floor of mouth"	20092
"B040.00"	"Malignant neoplasm of anterior portion of floor of mouth"	45408
"B041.00"	"Malignant neoplasm of lateral portion of floor of mouth"	45986
"B042.00"	"Malignant neoplasm, overlapping lesion of floor of mouth"	17912
"B04y.00"	"Malignant neoplasm of other sites of floor of mouth"	56709
"B04z.00"	"Malignant neoplasm of floor of mouth NOS"	36716
"B05..00"	"Malignant neoplasm of other and unspecified parts of mouth"	14792
"B050.00"	"Malignant neoplasm of cheek mucosa"	31364
"B050.11"	"Malignant neoplasm of buccal mucosa"	30402
"B051.00"	"Malignant neoplasm of vestibule of mouth"	103796
"B051000"	"Malignant neoplasm of upper buccal sulcus"	95772
"B051100"	"Malignant neoplasm of lower buccal sulcus"	97530
"B052.00"	"Malignant neoplasm of hard palate"	37590
"B053.00"	"Malignant neoplasm of soft palate"	40292
"B054.00"	"Malignant neoplasm of uvula"	37516
"B055.00"	"Malignant neoplasm of palate unspecified"	70819
"B055000"	"Malignant neoplasm of junction of hard and soft palate"	96003
"B055100"	"Malignant neoplasm of roof of mouth"	69951
"B055z00"	"Malignant neoplasm of palate NOS"	28559
"B056.00"	"Malignant neoplasm of retromolar area"	37724
"B05y.00"	"Malignant neoplasm of other specified mouth parts"	37916
"B05z.00"	"Malignant neoplasm of mouth NOS"	55015
"B05z000"	"Kaposi's sarcoma of palate"	37549
"B06..00"	"Malignant neoplasm of oropharynx"	22893
"B060.00"	"Malignant neoplasm of tonsil"	16241
"B060000"	"Malignant neoplasm of faucial tonsil"	26448
"B060100"	"Malignant neoplasm of palatine tonsil"	101988
"B060200"	"Malignant neoplasm of overlapping lesion of tonsil"	102151
"B060z00"	"Malignant neoplasm tonsil NOS"	53884
"B061.00"	"Malignant neoplasm of tonsillar fossa"	24397
"B062.00"	"Malignant neoplasm of tonsillar pillar"	55066
"B062000"	"Malignant neoplasm of faucial pillar"	51926
"B062100"	"Malignant neoplasm of glossopalatine fold"	99185
"B062200"	"Malignant neoplasm of palatoglossal arch"	61510
"B062300"	"Malignant neoplasm of palatopharyngeal arch"	93842
"B062z00"	"Malignant neoplasm of tonsillar fossa NOS"	100002
"B063.00"	"Malignant neoplasm of vallecula"	39554
"B064.00"	"Malignant neoplasm of anterior epiglottis"	46728
"B064000"	"Malignant neoplasm of epiglottis, free border"	26134
"B064100"	"Malignant neoplasm of glossoepiglottic fold"	91895
"B064z00"	"Malignant neoplasm of anterior epiglottis NOS"	73439
"B065.00"	"Malignant neoplasm of junctional region of epiglottis"	48519
"B066.00"	"Malignant neoplasm of lateral wall of oropharynx"	56355
"B067.00"	"Malignant neoplasm of posterior wall of oropharynx"	90124
"B06y.00"	"Malignant neoplasm of oropharynx, other specified sites"	67323
"B06yz00"	"Malignant neoplasm of other specified site of oropharynx NOS"	91037
"B06z.00"	"Malignant neoplasm of oropharynx NOS"	43200
"B07..00"	"Malignant neoplasm of nasopharynx"	24675
"B070.00"	"Malignant neoplasm of roof of nasopharynx"	94390
"B071.00"	"Malignant neoplasm of posterior wall of nasopharynx"	95429
"B071000"	"Malignant neoplasm of adenoid"	33388
"B071100"	"Malignant neoplasm of pharyngeal tonsil"	46548
"B071z00"	"Malignant neoplasm of posterior wall of nasopharynx NOS"	96869
"B072.00"	"Malignant neoplasm of lateral wall of nasopharynx"	59004
"B072000"	"Malignant neoplasm of pharyngeal recess"	37940
"B072z00"	"Malignant neoplasm of lateral wall of nasopharynx NOS"	102205
"B073.00"	"Malignant neoplasm of anterior wall of nasopharynx"	44139
"B073100"	"Malignant neoplasm of nasopharyngeal soft palate surface"	106915
"B073200"	"Malignant neoplasm posterior margin nasal septum and choanae"	99386
"B073z00"	"Malignant neoplasm of anterior wall of nasopharynx NOS"	100918
"B074.00"	"Malignant neoplasm, overlapping lesion of nasopharynx"	66422
"B07y.00"	"Malignant neoplasm of other specified site of nasopharynx"	55630
"B07z.00"	"Malignant neoplasm of nasopharynx NOS"	28665
"B08..00"	"Malignant neoplasm of hypopharynx"	34012
"B080.00"	"Malignant neoplasm of postcricoid region"	43548
"B081.00"	"Malignant neoplasm of pyriform sinus"	39897
"B082.00"	"Malignant neoplasm aryepiglottic fold, hypopharyngeal aspect"	57248
"B083.00"	"Malignant neoplasm of posterior pharynx"	64462
"B08y.00"	"Malignant neoplasm of other specified hypopharyngeal site"	88362
"B08z.00"	"Malignant neoplasm of hypopharynx NOS"	28451
"B0z..00"	"Malig neop other/ill-defined sites lip, oral cavity, pharynx"	46114
"B0z0.00"	"Malignant neoplasm of pharynx unspecified"	16297
"B0z1.00"	"Malignant neoplasm of Waldeyer's ring"	95016
"B0z2.00"	"Malignant neoplasm of laryngopharynx"	39084
"B0zy.00"	"Malignant neoplasm of other sites lip, oral cavity, pharynx"	49758
"B0zz.00"	"Malignant neoplasm of lip, oral cavity and pharynx NOS"	39430
"B20..00"	"Malig neop nasal cavities, middle ear and accessory sinuses"	26652
"B200.00"	"Malignant neoplasm of nasal cavities"	23389
"B200000"	"Malignant neoplasm of cartilage of nose"	71204
"B200100"	"Malignant neoplasm of nasal conchae"	98911
"B200200"	"Malignant neoplasm of septum of nose"	62761
"B200300"	"Malignant neoplasm of vestibule of nose"	62182
"B200z00"	"Malignant neoplasm of nasal cavities NOS"	42856
"B201.00"	"Malig neop auditory tube, middle ear and mastoid air cells"	24456
"B201000"	"Malignant neoplasm of auditory (Eustachian) tube"	107916
"B201100"	"Malignant neoplasm of tympanic cavity"	98537
"B201200"	"Malignant neoplasm of tympanic antrum"	54613
"B201300"	"Malignant neoplasm of mastoid air cells"	71946
"B201z00"	"Malig neop auditory tube, middle ear, mastoid air cells NOS"	73537
"B202.00"	"Malignant neoplasm of maxillary sinus"	32174
"B203.00"	"Malignant neoplasm of ethmoid sinus"	54636
"B204.00"	"Malignant neoplasm of frontal sinus"	15684
"B205.00"	"Malignant neoplasm of sphenoidal sinus"	65215
"B206.00"	"Malignant neoplasm, overlapping lesion of accessory sinuses"	39590
"B20y.00"	"Malig neop other site nasal cavity, middle ear and sinuses"	96971
"B20z.00"	"Malignant neoplasm of accessory sinus NOS"	55246
"B21..00"	"Malignant neoplasm of larynx"	319
"B210.00"	"Malignant neoplasm of glottis"	318
"B211.00"	"Malignant neoplasm of supraglottis"	26165
"B212.00"	"Malignant neoplasm of subglottis"	22441
"B213.00"	"Malignant neoplasm of laryngeal cartilage"	43111
"B213000"	"Malignant neoplasm of arytenoid cartilage"	63460
"B213100"	"Malignant neoplasm of cricoid cartilage"	37805
"B213200"	"Malignant neoplasm of cuneiform cartilage"	107878
"B213300"	"Malignant neoplasm of thyroid cartilage"	47862
"B213z00"	"Malignant neoplasm of laryngeal cartilage NOS"	97332
"B214.00"	"Malignant neoplasm, overlapping lesion of larynx"	50579
"B215.00"	"Malignant neoplasm of epiglottis NOS"	55374
"B21y.00"	"Malignant neoplasm of larynx, other specified site"	26813
"B21z.00"	"Malignant neoplasm of larynx NOS"	9237
"B550.00"	"Malignant neoplasm of head, neck and face"	68236
"B550000"	"Malignant neoplasm of head NOS"	55098
"B550100"	"Malignant neoplasm of cheek NOS"	41931
"B550200"	"Malignant neoplasm of nose NOS"	12490
"B550300"	"Malignant neoplasm of jaw NOS"	51818
"B550400"	"Malignant neoplasm of neck NOS"	16280
"B550500"	"Malignant neoplasm of supraclavicular fossa NOS"	73510
"B550z00"	"Malignant neoplasm of head, neck and face NOS"	58903
"B62x400"	"Malignant reticulosis"	62437
"Byu0.00"	"[X]Malignant neoplasm of lip, oral cavity and pharynx"	58973
"B10..00"	"Malignant neoplasm of oesophagus"	1062
"B100.00"	"Malignant neoplasm of cervical oesophagus"	61695
"B101.00"	"Malignant neoplasm of thoracic oesophagus"	41362
"B102.00"	"Malignant neoplasm of abdominal oesophagus"	63470
"B103.00"	"Malignant neoplasm of upper third of oesophagus"	50789
"B104.00"	"Malignant neoplasm of middle third of oesophagus"	54171
"B105.00"	"Malignant neoplasm of lower third of oesophagus"	42416
"B106.00"	"Malignant neoplasm, overlapping lesion of oesophagus"	67497
"B107.00"	"Siewert type I adenocarcinoma"	98142
"B10y.00"	"Malignant neoplasm of other specified part of oesophagus"	53591
"B10z.00"	"Malignant neoplasm of oesophagus NOS"	30700
"B10z.11"	"Oesophageal cancer"	4865
"B11..00"	"Malignant neoplasm of stomach"	8386
"B11..11"	"Gastric neoplasm"	10368
"B110.00"	"Malignant neoplasm of cardia of stomach"	32022
"B110000"	"Malignant neoplasm of cardiac orifice of stomach"	100584
"B110100"	"Malignant neoplasm of cardio-oesophageal junction of stomach"	22894
"B110111"	"Malignant neoplasm of gastro-oesophageal junction"	94278
"B110z00"	"Malignant neoplasm of cardia of stomach NOS"	37859
"B111.00"	"Malignant neoplasm of pylorus of stomach"	21620
"B111000"	"Malignant neoplasm of prepylorus of stomach"	48237
"B111100"	"Malignant neoplasm of pyloric canal of stomach"	41215
"B111z00"	"Malignant neoplasm of pylorus of stomach NOS"	59092
"B112.00"	"Malignant neoplasm of pyloric antrum of stomach"	19318
"B113.00"	"Malignant neoplasm of fundus of stomach"	32362
"B114.00"	"Malignant neoplasm of body of stomach"	43572
"B115.00"	"Malignant neoplasm of lesser curve of stomach unspecified"	42193
"B116.00"	"Malignant neoplasm of greater curve of stomach unspecified"	55434
"B117.00"	"Malignant neoplasm, overlapping lesion of stomach"	51690
"B118.00"	"Siewert type II adenocarcinoma"	97499
"B119.00"	"Siewert type III adenocarcinoma"	96094
"B11y.00"	"Malignant neoplasm of other specified site of stomach"	55019
"B11y000"	"Malignant neoplasm of anterior wall of stomach NEC"	65312
"B11y100"	"Malignant neoplasm of posterior wall of stomach NEC"	96802
"B11yz00"	"Malignant neoplasm of other specified site of stomach NOS"	65372
"B11z.00"	"Malignant neoplasm of stomach NOS"	14800
"B12..00"	"Malignant neoplasm of small intestine and duodenum"	6806
"B120.00"	"Malignant neoplasm of duodenum"	18613
"B121.00"	"Malignant neoplasm of jejunum"	43479
"B122.00"	"Malignant neoplasm of ileum"	33871
"B123.00"	"Malignant neoplasm of Meckel's diverticulum"	63995
"B12y.00"	"Malignant neoplasm of other specified site small intestine"	99896
"B12z.00"	"Malignant neoplasm of small intestine NOS"	43390
"B13..00"	"Malignant neoplasm of colon"	1220
"B130.00"	"Malignant neoplasm of hepatic flexure of colon"	9088
"B131.00"	"Malignant neoplasm of transverse colon"	6935
"B132.00"	"Malignant neoplasm of descending colon"	10864
"B133.00"	"Malignant neoplasm of sigmoid colon"	2815
"B134.00"	"Malignant neoplasm of caecum"	3811
"B134.11"	"Carcinoma of caecum"	22163
"B135.00"	"Malignant neoplasm of appendix"	18632
"B136.00"	"Malignant neoplasm of ascending colon"	10946
"B137.00"	"Malignant neoplasm of splenic flexure of colon"	18619
"B138.00"	"Malignant neoplasm, overlapping lesion of colon"	93478
"B13y.00"	"Malignant neoplasm of other specified sites of colon"	48231
"B13z.00"	"Malignant neoplasm of colon NOS"	28163
"B13z.11"	"Colonic cancer"	9118
"B140.00"	"Malignant neoplasm of rectosigmoid junction"	27855
"B142.00"	"Malignant neoplasm of anal canal"	24370
"B1z0.11"	"Cancer of bowel"	11628
"B14..00"	"Malignant neoplasm of rectum, rectosigmoid junction and anus"	35357
"B141.00"	"Malignant neoplasm of rectum"	1800
"B141.11"	"Carcinoma of rectum"	7219
"B141.12"	"Rectal carcinoma"	5901
"B14y.00"	"Malig neop other site rectum, rectosigmoid junction and anus"	55659
"B14z.00"	"Malignant neoplasm rectum,rectosigmoid junction and anus NOS"	50974
"B142.11"	"Anal carcinoma"	9491
"B142000"	"Malignant neoplasm of cloacogenic zone"	46159
"B143.00"	"Malignant neoplasm of anus unspecified"	27897
"B15..00"	"Malignant neoplasm of liver and intrahepatic bile ducts"	8918
"B150.00"	"Primary malignant neoplasm of liver"	25535
"B150000"	"Primary carcinoma of liver"	16126
"B150100"	"Hepatoblastoma of liver"	31210
"B150200"	"Primary angiosarcoma of liver"	68410
"B150300"	"Hepatocellular carcinoma"	22187
"B150z00"	"Primary malignant neoplasm of liver NOS"	44399
"B152.00"	"Malignant neoplasm of liver unspecified"	26393
"Byu1100"	"[X]Other specified carcinomas of liver"	43490
"B16..00"	"Malignant neoplasm gallbladder and extrahepatic bile ducts"	54103
"B160.00"	"Malignant neoplasm of gallbladder"	16105
"B160.11"	"Carcinoma gallbladder"	31393
"B16y.00"	"Malignant neoplasm other gallbladder/extrahepatic bile duct"	60312
"B16z.00"	"Malignant neoplasm gallbladder/extrahepatic bile ducts NOS"	15907
"B151.00"	"Malignant neoplasm of intrahepatic bile ducts"	16915
"B151000"	"Malignant neoplasm of interlobular bile ducts"	65124
"B151100"	"Malignant neoplasm of interlobular biliary canals"	110775
"B151200"	"Malignant neoplasm of intrahepatic biliary passages"	89593
"B151400"	"Malignant neoplasm of intrahepatic gall duct"	58088
"B151z00"	"Malignant neoplasm of intrahepatic bile ducts NOS"	61643
"B15z.00"	"Malignant neoplasm of liver and intrahepatic bile ducts NOS"	38978
"B161.00"	"Malignant neoplasm of extrahepatic bile ducts"	23433
"B161000"	"Malignant neoplasm of cystic duct"	72445
"B161100"	"Malignant neoplasm of hepatic duct"	52537
"B161200"	"Malignant neoplasm of common bile duct"	7982
"B161211"	"Carcinoma common bile duct"	36495
"B161300"	"Malignant neoplasm of sphincter of Oddi"	105613
"B161z00"	"Malignant neoplasm of extrahepatic bile ducts NOS"	74896
"B162.00"	"Malignant neoplasm of ampulla of Vater"	10949
"B163.00"	"Malignant neoplasm, overlapping lesion of biliary tract"	35039
"B17..00"	"Malignant neoplasm of pancreas"	8166
"B170.00"	"Malignant neoplasm of head of pancreas"	8771
"B171.00"	"Malignant neoplasm of body of pancreas"	40810
"B172.00"	"Malignant neoplasm of tail of pancreas"	39870
"B173.00"	"Malignant neoplasm of pancreatic duct"	35535
"B174.00"	"Malignant neoplasm of Islets of Langerhans"	35795
"B17y.00"	"Malignant neoplasm of other specified sites of pancreas"	48537
"B17y000"	"Malignant neoplasm of ectopic pancreatic tissue"	96635
"B17yz00"	"Malignant neoplasm of specified site of pancreas NOS"	95783
"B17z.00"	"Malignant neoplasm of pancreas NOS"	34388
"B717011"	"Endocrine tumour of pancreas"	55675
"B18..00"	"Malignant neoplasm of retroperitoneum and peritoneum"	44108
"B180.00"	"Malignant neoplasm of retroperitoneum"	21330
"B180100"	"Malignant neoplasm of perinephric tissue"	65159
"B180200"	"Malignant neoplasm of retrocaecal tissue"	24048
"B180z00"	"Malignant neoplasm of retroperitoneum NOS"	61555
"B181.00"	"Mesothelioma of peritoneum"	17874
"B18y.00"	"Malignant neoplasm of specified parts of peritoneum"	46613
"B18y100"	"Malignant neoplasm of mesocaecum"	59388
"B18y200"	"Malignant neoplasm of mesorectum"	30165
"B18y300"	"Malignant neoplasm of omentum"	50898
"B18y400"	"Malignant neoplasm of parietal peritoneum"	64516
"B18y500"	"Malignant neoplasm of pelvic peritoneum"	39413
"B18y600"	"Malignant neoplasm of the pouch of Douglas"	69821
"B18y700"	"Malignant neoplasm of mesentery"	90290
"B18yz00"	"Malignant neoplasm of specified parts of peritoneum NOS"	64106
"B18z.00"	"Malignant neoplasm of retroperitoneum and peritoneum NOS"	16298
"B1z1.00"	"Malignant neoplasm of spleen NEC"	65460
"B1z1000"	"Angiosarcoma of spleen"	108667
"B1z1100"	"Fibrosarcoma of spleen"	72224
"B1z1z00"	"Malignant neoplasm of spleen NOS"	93778
"B22..00"	"Malignant neoplasm of trachea, bronchus and lung"	13243
"B220.00"	"Malignant neoplasm of trachea"	15221
"B220100"	"Malignant neoplasm of mucosa of trachea"	103946
"B220z00"	"Malignant neoplasm of trachea NOS"	37810
"B221.00"	"Malignant neoplasm of main bronchus"	12870
"B221000"	"Malignant neoplasm of carina of bronchus"	17391
"B221100"	"Malignant neoplasm of hilus of lung"	33444
"B221z00"	"Malignant neoplasm of main bronchus NOS"	21698
"B222.00"	"Malignant neoplasm of upper lobe, bronchus or lung"	10358
"B222.11"	"Pancoast's syndrome"	20170
"B222000"	"Malignant neoplasm of upper lobe bronchus"	31700
"B222100"	"Malignant neoplasm of upper lobe of lung"	25886
"B222z00"	"Malignant neoplasm of upper lobe, bronchus or lung NOS"	44169
"B223.00"	"Malignant neoplasm of middle lobe, bronchus or lung"	31268
"B223000"	"Malignant neoplasm of middle lobe bronchus"	41523
"B223100"	"Malignant neoplasm of middle lobe of lung"	39923
"B223z00"	"Malignant neoplasm of middle lobe, bronchus or lung NOS"	54134
"B224.00"	"Malignant neoplasm of lower lobe, bronchus or lung"	31188
"B224000"	"Malignant neoplasm of lower lobe bronchus"	18678
"B224100"	"Malignant neoplasm of lower lobe of lung"	12582
"B224z00"	"Malignant neoplasm of lower lobe, bronchus or lung NOS"	42566
"B22y.00"	"Malignant neoplasm of other sites of bronchus or lung"	38961
"B22z.00"	"Malignant neoplasm of bronchus or lung NOS"	3903
"B22z.11"	"Lung cancer"	2587
"B23..00"	"Malignant neoplasm of pleura"	31573
"B230.00"	"Malignant neoplasm of parietal pleura"	67107
"B231.00"	"Malignant neoplasm of visceral pleura"	106194
"B23y.00"	"Malignant neoplasm of other specified pleura"	98104
"B24..00"	"Malignant neoplasm of thymus, heart and mediastinum"	62556
"B240.00"	"Malignant neoplasm of thymus"	27483
"B241.00"	"Malignant neoplasm of heart"	95644
"B241000"	"Malignant neoplasm of endocardium"	63430
"B241200"	"Malignant neoplasm of myocardium"	65605
"B241300"	"Malignant neoplasm of pericardium"	94975
"B241400"	"Mesothelioma of pericardium"	101885
"B241z00"	"Malignant neoplasm of heart NOS"	50289
"B242.00"	"Malignant neoplasm of anterior mediastinum"	27715
"B243.00"	"Malignant neoplasm of posterior mediastinum"	92720
"B24X.00"	"Malignant neoplasm of mediastinum, part unspecified"	61064
"B24y.00"	"Malig neop of other site of heart, thymus and mediastinum"	100232
"B24z.00"	"Malignant neoplasm of heart, thymus and mediastinum NOS"	66750
"B225.00"	"Malignant neoplasm of overlapping lesion of bronchus & lung"	36371
"B3...12"	"Sarcoma of bone and connective tissue"	12539
"B30..00"	"Malignant neoplasm of bone and articular cartilage"	18314
"B300.00"	"Malignant neoplasm of bones of skull and face"	59036
"B300000"	"Malignant neoplasm of ethmoid bone"	53594
"B300100"	"Malignant neoplasm of frontal bone"	53599
"B300200"	"Malignant neoplasm of malar bone"	59520
"B300300"	"Malignant neoplasm of nasal bone"	95458
"B300400"	"Malignant neoplasm of occipital bone"	55953
"B300500"	"Malignant neoplasm of orbital bone"	50298
"B300600"	"Malignant neoplasm of parietal bone"	54747
"B300700"	"Malignant neoplasm of sphenoid bone"	55595
"B300800"	"Malignant neoplasm of temporal bone"	62104
"B300900"	"Malignant neoplasm of zygomatic bone"	50299
"B300A00"	"Malignant neoplasm of maxilla"	17475
"B300B00"	"Malignant neoplasm of turbinate"	96445
"B300C00"	"Malignant neoplasm of vomer"	44452
"B300z00"	"Malignant neoplasm of bones of skull and face NOS"	69146
"B301.00"	"Malignant neoplasm of mandible"	33833
"B302.00"	"Malignant neoplasm of vertebral column"	16704
"B302000"	"Malignant neoplasm of cervical vertebra"	46939
"B302100"	"Malignant neoplasm of thoracic vertebra"	32372
"B302200"	"Malignant neoplasm of lumbar vertebra"	54691
"B302z00"	"Malignant neoplasm of vertebral column NOS"	49701
"B303.00"	"Malignant neoplasm of ribs, sternum and clavicle"	27528
"B303000"	"Malignant neoplasm of rib"	37842
"B303100"	"Malignant neoplasm of sternum"	49491
"B303200"	"Malignant neoplasm of clavicle"	66639
"B303300"	"Malignant neoplasm of costal cartilage"	60403
"B303400"	"Malignant neoplasm of costo-vertebral joint"	67763
"B303500"	"Malignant neoplasm of xiphoid process"	54493
"B303z00"	"Malignant neoplasm of rib, sternum and clavicle NOS"	51237
"B304.00"	"Malignant neoplasm of scapula and long bones of upper arm"	71810
"B304000"	"Malignant neoplasm of scapula"	49054
"B304100"	"Malignant neoplasm of acromion"	105797
"B304200"	"Malignant neoplasm of humerus"	61741
"B304300"	"Malignant neoplasm of radius"	92371
"B304400"	"Malignant neoplasm of ulna"	64848
"B304z00"	"Malig neop of scapula and long bones of upper arm NOS"	65880
"B305.00"	"Malignant neoplasm of hand bones"	73530
"B305.11"	"Malignant neoplasm of carpal bones"	106069
"B305.12"	"Malignant neoplasm of metacarpal bones"	72464
"B305000"	"Malignant neoplasm of carpal bone - scaphoid"	57988
"B305100"	"Malignant neoplasm of carpal bone - lunate"	69104
"B305800"	"Malignant neoplasm of first metacarpal bone"	110993
"B305A00"	"Malignant neoplasm of third metacarpal bone"	108638
"B305C00"	"Malignant neoplasm of fifth metacarpal bone"	94427
"B305D00"	"Malignant neoplasm of phalanges of hand"	86812
"B305z00"	"Malignant neoplasm of hand bones NOS"	73556
"B306.00"	"Malignant neoplasm of pelvic bones, sacrum and coccyx"	54631
"B306000"	"Malignant neoplasm of ilium"	44609
"B306100"	"Malignant neoplasm of ischium"	59223
"B306200"	"Malignant neoplasm of pubis"	51921
"B306300"	"Malignant neoplasm of sacral vertebra"	40966
"B306400"	"Malignant neoplasm of coccygeal vertebra"	66908
"B306500"	"Malignant sacral teratoma"	50152
"B306z00"	"Malignant neoplasm of pelvis, sacrum or coccyx NOS"	38938
"B307.00"	"Malignant neoplasm of long bones of leg"	68055
"B307000"	"Malignant neoplasm of femur"	56513
"B307100"	"Malignant neoplasm of fibula"	50402
"B307200"	"Malignant neoplasm of tibia"	40814
"B307z00"	"Malignant neoplasm of long bones of leg NOS"	62630
"B308.00"	"Malignant neoplasm of short bones of leg"	105475
"B308100"	"Malignant neoplasm of talus"	95182
"B308200"	"Malignant neoplasm of calcaneum"	72212
"B308300"	"Malignant neoplasm of medial cuneiform"	34878
"B308800"	"Malignant neoplasm of first metatarsal bone"	69927
"B308B00"	"Malignant neoplasm of fourth metatarsal bone"	92382
"B308D00"	"Malignant neoplasm of phalanges of foot"	58949
"B308z00"	"Malignant neoplasm of short bones of leg NOS"	103354
"B30W.00"	"Malignant neoplasm/overlap lesion/bone+articulr cartilage"	67451
"B30X.00"	"Malignant neoplasm/bones+articular cartilage/limb,unspfd"	43614
"B30z.00"	"Malignant neoplasm of bone and articular cartilage NOS"	16075
"B30z000"	"Osteosarcoma"	19437
"B600.00"	"Reticulosarcoma"	1481
"B600000"	"Reticulosarcoma of unspecified site"	60242
"BBV..11"	"[M]Juxtacortical osteogenic sarcoma"	99665
"BBV..13"	"[M]Periosteal osteogenic sarcoma"	105275
"BBV1.00"	"[M]Osteosarcoma NOS"	8660
"BBV1.11"	"[M]Osteoblastic sarcoma"	49862
"BBV1.12"	"[M]Osteochondrosarcoma"	59310
"BBV1.13"	"[M]Osteogenic sarcoma NOS"	5052
"BBV2.00"	"[M]Chondroblastic osteosarcoma"	24539
"BBV3.00"	"[M]Fibroblastic osteosarcoma"	21447
"BBV4.00"	"[M]Telangiectatic osteosarcoma"	22561
"BBV5.00"	"[M]Osteosarcoma in Paget's disease of bone"	60631
"BBV8.00"	"[M]Osteoblastoma"	62492
"BBVA.00"	"[M] Small cell osteosarcoma"	29337
"BBVz.00"	"[M]Osteoma or osteosarcoma NOS"	48271
"BBX..00"	"[M]Giant cell tumours"	22330
"BBX0.00"	"[M]Giant cell tumour of bone NOS"	38477
"BBX1.00"	"[M]Giant cell tumour of bone, malignant"	68956
"BBX1.11"	"[M]Giant cell bone sarcoma"	50859
"BBX1.12"	"[M]Osteoclastoma, malignant"	31673
"BBXz.00"	"[M]Giant cell tumour NOS"	37830
"BBY..00"	"[M]Miscellaneous bone tumours"	9102
"BBY0.00"	"[M]Ewing's sarcoma"	4473
"BBY0.11"	"[M]Endothelial bone sarcoma"	49023
"BBYz.00"	"[M]Miscellaneous bone tumour NOS"	66502
"BBZ2.11"	"[M]Intraosseous carcinoma"	93175
