medcode	readcode	clinical_events	immunisation_events	referral_events	test_events	read_term	database_build
6916	"N040P00"	6946	0	227	0	"Seronegative rheumatoid arthritis"	"February 2009"
6766	"ZV7y100"	1557	0	57	72	"[V]Screening for rheumatoid arthritis"	"February 2009"
30548	"N040N00"	230	0	3	0	"Rheumatoid vasculitis"	"February 2009"
49227	"N042.00"	30	0	2	0	"Other rheumatoid arthropathy + visceral/systemic involvement"	"February 2009"
62401	"F371200"	21	0	0	0	"Polyneuropathy in rheumatoid arthritis"	"February 2009"
107791	"N040E00"	1	0	0	0	"Rheumatoid arthritis of tibio-fibular joint"	"March 2014"
56202	"Nyu1G00"	43	0	1	0	"[X]Seropositive rheumatoid arthritis, unspecified"	"February 2009"
12019	"N04X.00"	3854	0	82	0	"Seropositive rheumatoid arthritis, unspecified"	"February 2009"
99414	"N040L00"	5	0	0	0	"Rheumatoid arthritis of lesser MTP joint"	"May 2010"
106093	"9hR..00"	475	0	1	0	"Exception reporting: rheumatoid arthritis quality indicators"	"May 2013"
107797	"9mM4.00"	612	0	0	0	"Rheumatoid arthritis monitoring telephone invitation"	"March 2014"
28853	"N04y012"	305	0	10	0	"Fibrosing alveolitis associated with rheumatoid arthritis"	"February 2009"
48832	"N040700"	115	0	0	0	"Rheumatoid arthritis of wrist"	"February 2009"
70658	"N040H00"	7	0	0	0	"Rheumatoid arthritis of talonavicular joint"	"February 2009"
844	"N040.00"	266181	0	21844	2745	"Rheumatoid arthritis"	"February 2009"
9707	"N047.00"	956	0	5	0	"Seropositive errosive rheumatoid arthritis"	"February 2009"
107340	"9mM..00"	621	0	1	0	"Rheumatoid arthritis monitoring invitation"	"December 2013"
4186	"N043.00"	4280	0	259	0	"Juvenile rheumatoid arthritis - Still's disease"	"February 2009"
103829	"38DZ000"	372	0	0	0	"Disease activity score 28 joint in rheumatoid arthritis"	"February 2012"
18155	"N040Q00"	54	0	5	0	"Rheumatoid bursitis"	"February 2009"
102088	"7P20300"	3	0	0	0	"Delivery of rehabilitation for rheumatoid arthritis"	"April 2011"
