medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release	term2
458260019	"Plasma cholesterol/VLDL ratio"	"44lK"	"44lK.00"	1015731000000100	223831000006119		"Plasma cholesterol/VLDL ratio"
259569014	"Plasma random LDL cholesterol level"	"44d4"	"44d4.00"	1028851000000104	224631000006115		"Plasma random LDL cholesterol level"
516351000000116	"Non HDL cholesterol level"	"44PL"	"44PL.00"	1030411000000101	2595221000000113		"Non HDL cholesterol level"
293270011	"Pure hypercholesterolaemia NOS"	"C320z"	"C320z00"	267432004	194731000006117		"Pure hypercholesterolaemia NOS"
259230019	"Serum cholesterol very high"	"44P4"	"44P4.00"	166831007	259230019		"Serum cholesterol very high"
259247018	"Serum random LDL cholesterol level"	"44PE"	"44PE.00"	1026481000000108	145041000006117		"Serum random LDL cholesterol level"
259229012	"Serum cholesterol raised"	"44P3"	"44P3.00"	166830008	259229012		"Serum cholesterol raised"
457911015	"Cholesterol/HDL ratio"	"44l2"	"44l2.00"	313811003	457911015		"Cholesterol/HDL ratio"
458256017	"Plasma cholesterol/LDL ratio"	"44lI"	"44lI.00"	1015711000000108	223821000006117		"Plasma cholesterol/LDL ratio"
458252015	"Plasma cholesterol/HDL ratio"	"44lG"	"44lG.00"	1015691000000106	223811000006113		"Plasma cholesterol/HDL ratio"
1488764011	"Calculated LDL cholesterol level"	"44PI"	"44PI.00"	1014501000000104	844031000006115		"Calculated LDL cholesterol level"
398852019	"Pure hypercholesterolaemia"	"C320"	"C320.00"	267432004	398852019		"Pure hypercholesterolaemia"
667191000006111	"Fasting serum cholesterol"	"EGTON456"	""	667191000006107	667191000006111		"Fasting serum cholesterol"
458249011	"Serum cholesterol/HDL ratio"	"44lF"	"44lF.00"	1015681000000109	150991000006116		"Serum cholesterol/HDL ratio"
458313013	"Plasma HDL cholesterol level"	"44dA"	"44dA.00"	1010581000000101	224251000006112		"Plasma HDL cholesterol level"
855771000006118	"HDL cholesterol level"	"EGTONHD1"	""	855771000006102	855771000006118		"HDL cholesterol level"
293267012	"Other specified pure hypercholesterolaemia"	"C320y"	"C320y00"	13644009	3781000006110		"Other specified pure hypercholesterolaemia"
1484985012	"Plasma total cholesterol level"	"44OE"	"44OE.00"	1017161000000104	2552911000000113		"Plasma total cholesterol level"
2533224018	"7-Dehydrocholesterol level"	"4QA0"	"4QA0.00"	1020721000000100	2558391000000118		"7-Dehydrocholesterol level"
34521000033114	"Cholesterol"	"DRGC406"	""	84698008	34521000033114		"Cholesterol"
1488851015	"Pre-treatment serum cholesterol level"	"662a"	"662a.00"	395153009	1488851015		"Pre-treatment serum cholesterol level"
186091018	"Total cholesterol measurement"	"44PH"	"44PH.00"	121868005	186091018		"Total cholesterol measurement"
1924001000006115	"Estimated serum non-HDL cholesterol level"	"44PL1"	"44PL100"	920471000000100	1924001000006115		"Estimated serum non-HDL cholesterol level"
458257014	"Serum cholesterol/VLDL ratio"	"44lJ"	"44lJ.00"	1015721000000102	151011000006117		"Serum cholesterol/VLDL ratio"
259252011	"Serum cholesterol NOS"	"44PZ"	"44PZ.00"	1005671000000105	150951000006110		"Serum cholesterol NOS"
259250015	"Total cholesterol:HDL ratio"	"44PF"	"44PF.00"	1028551000000102	97071000006119		"Total cholesterol:HDL ratio"
259246010	"Serum fasting LDL cholesterol level"	"44PD"	"44PD.00"	1026471000000106	143791000006110		"Serum fasting LDL cholesterol level"
