v1	medcodeid	cleansedreadcode	observations	term	snomedctconceptid
299	371601000006119	"Pyu2H00"	50	"[X]Congenital malformation of aortic and mitral valves unsp"	70320004
85	145620019	"G41..00"	1000	"Chronic pulmonary heart disease"	87837008
793	5980831000006116	" "	1	"Heart transplant biopsy"	308683001
151	313343010	"P5z..00"	1000	"Heart bulb or septal closure defects NOS"	268174004
276	356361000000114	"7A0C100"	40	"Pulmonary unifocalisation"	223611000000101
110	28816013	"P501.12"	10	"Aorticopulmonary septal defect"	17024001
598	377798017	"P6yy411"	20	"Congenital absence of pericardium"	253732001
595	3902361000006111	" "	6	"Pulmonary artery absent"	86252004
161	270779017	"7902.11"	2000	"Repair of tetralogy of Fallot"	174814003
10	92841017	"G5y3411"	100000	"Left ventricular hypertrophy"	55827005
690	511641000000117	"7909z11"	2	"Repair of defect of unspecified septum of heart NOS"	77371000
116	411508017	"G21z011"	4000	"Cardiomegaly - hypertensive"	275516004
726	2943361000006119	" "	6	"Right sided heart"	27637000
347	299673010	"G233.00"	100	"Hypertensive heart and renal disease with renal failure"	194780003
159	755691000006114	"PK35.00"	1000	"Kartageners syndrome"	42402006
670	313397010	"P6y4600"	20	"Congenital stricture of coronary artery"	204379001
303	569671000006119	"7907000"	300	"Closure of defect of interatrial septum using prosthetic patch"	174844000
780	2770281000006118	" "	1	"AP - Aortopulmonary window"	17024001
22	13062015	"P71..00"	20000	"Coarctation of aorta"	7305005
358	883981000006111	"G1...99"	200	"Chronic rheumatic heart diseas"	87648004
38	299622019	"G140400"	10000	"Tricuspid valve regurgitation"	111287006
723	2616351000006116	" "	9	"Aortic coarctation"	7305005
274	313362013	"P60z100"	100	"Fallot's trilogy"	204351007
641	315682017	"Pyu2300"	10	"[X]Other congenital malformations of tricuspid valve"	4374004
566	299675015	"G23z.00"	10	"Hypertensive heart and renal disease NOS"	86234004
743	313426011	"P6yy800"	5	"Cor triloculare"	204397009
425	2692158014	"790J000"	50	"Repositioning of transposed great arteries"	428558001
1	46258015	"P6y6000"	5000	"Dextrocardia"	27637000
383	741691000006114	"G21z000"	300	"Hypertensive heart disease NOS without CCF"	64715009
138	1235125018	"P52..99"	800	"Fallot's tetralogy"	86299006
217	270837016	"7908y00"	600	"Closure of ventricular septal defect"	52930005
173	300012015	"G543z00"	600	"Pulmonary valve disorders NOS"	76267008
588	271039013	"7918z00"	60	"Other open operation on valve of heart NOS"	73544002
421	299655012	"G21zz00"	400	"Hypertensive heart disease NOS"	64715009
30	81186016	"G540.14"	40000	"Mitral valve regurgitation"	48724000
307	313508010	"P74..00"	80	"Anomalies of great veins"	204451006
78	299980014	"G540000"	30000	"Mitral incompetence, non-rheumatic"	194978002
382	136773016	"P65..00"	200	"Congenital mitral stenosis"	82458004
86	299997015	"G542100"	200	"Tricuspid stenosis, non-rheumatic"	194991001
134	313336016	"P56z200"	3000	"Common atrioventricular-type ventricular septal defect"	204330009
579	357781000000119	"790C300"	10	"Percutaneous transluminal atrial septum fenestration"	224321000000104
431	299604017	"G131.00"	300	"Mitral stenosis and aortic insufficiency"	194734000
677	299654011	"G211z00"	10	"Benign hypertensive heart disease NOS"	36221001
729	2981791000006119	" "	2	"MR - Congenital mitral regurgitation"	29928006
630	1546321000006114	"7904200"	6	"Left ventricle to aorta tunnel with right ventricle to pulmonary artery valved conduit"	224181000000101
570	3610141000006114	" "	100	"Partial anomalous pulmonary venous connection"	68237008
748	3081991000006119	" "	2	"Pulmonary artery congenital abnormality"	36110001
667	4042761000006111	" "	20	"Muscular ventricular septum defect"	94706008
266	596881000006110	"790F000"	200	"Correction of persistent sinus venosus"	174899009
283	1222314017	"G541211"	60	"Aortic insufficiency alone, cause unspecified"	60234000
74	1222316015	"G543215"	8000	"Pulmonic valve regurgitation"	91434003
178	251803016	"14H1.11"	900	"H/O: heart anomaly"	161573009
270	300000019	"G542z00"	500	"Tricuspid valve disorders NOS"	20721001
83	483917014	"P6y4.00"	1000	"Coronary artery anomaly"	28574005
661	377723016	"P711.12"	6	"Preductal interruption of aorta"	253673009
572	1546741000006118	"790L300"	60	"Percutan transluminal closure defect interatrial septum NEC"	30123000
552	5331971000006119	" "	1	"Pulmonary atresia with intact ventricular septum"	253590009
581	818471000006114	"790..12"	20	"Heart chambers operations"	275028003
438	377498018	"P520.12"	40	"Dextraposition of aorta in Fallot's tetralogy"	253514004
457	1232187015	"7A00300"	100	"Closure of aortopulmonary window"	61192001
346	478039018	"P501.11"	100	"Aortopulmonary window"	17024001
751	40341000006116	"P561.12"	10	"Ostium primum type interauricular septal defect"	17718000
787	5331991000006118	" "	5	"Pulmonary atresia with ventricular septal defect"	253591008
517	511531000000113	"7908311"	10	"Primary repair of defect of interventricular septum NEC"	52930005
482	250411000006119	"P652.00"	50	"Parachute deformity of the mitral valve"	204362007
166	377499014	"P520.11"	500	"Ventricular septal defect in Fallot's tetralogy"	253515003
63	270838014	"7908z00"	500	"Closure of defect of interventricular septum NOS"	52930005
688	641971000006114	"P56z.00"	10	"Endocardial cushion defects NOS"	15459006
336	497981000006111	"7903z00"	90	"Atrial inversion op for transposition of great vessels NOS"	265467003
521	355549012	"L185.11"	50	"Congenital heart disease in pregnancy"	237227006
742	3826471000006110	" "	1	"Congenital anomaly of inferior vena cava"	81577001
248	113349011	"P742.00"	300	"PAPVR - Partial anomalous pulmonary venous return"	68237008
384	4824331000006114	" "	50	"Transposition of great arteries"	204296002
725	5329031000006119	" "	2	"Straddling tricuspid valve"	253379003
72	1222307019	"G140413"	50000	"Tricuspid regurgitation, cause unspecified"	111287006
586	1222308012	"G140514"	100	"Tricuspid stenosis and regurgitation, cause unspecified"	49915006
728	5295591000006111	" "	4	"Intermittent second degree atrioventricular block"	251114004
407	90421000006112	"7900.00"	1000	"Transplantation of heart and lung"	32477003
202	143003017	"G23..00"	400	"Hypertensive heart AND renal disease"	86234004
210	559831000006111	"7908100"	90	"Closure of defect of interventricular septum using pericardial patch"	174851009
288	270859019	"790Bz00"	100	"Closed operation on septum of heart NOS"	174870004
794	3285001000006119	" "	1	"Congenital atresia of cardiac vein"	48520006
527	4824461000006111	" "	100	"ASD2 - Secundum atrial septal defect"	204315000
516	297501000006112	"G542200"	6	"Nonrheumatic tricuspid valve stenosis with insufficiency"	194992008
236	400802010	"P603.00"	400	"Right hypoplastic heart syndrome"	268180007
629	1546311000006118	"7904100"	5	"Left ventricle to aorta tunnel with right ventricle to pulmonary trunk direct anastomosis"	224291000000109
715	2981781000006117	" "	3	"Congenital mitral regurgitation"	29928006
101	300008014	"G543100"	4000	"Pulmonary stenosis, non-rheumatic"	194997002
113	327391000006114	"7N40000"	5000	"Mitral valve structure"	91134007
561	377219011	"P51y.11"	80	"Transposition of aorta"	253297008
53	313369016	"P62..00"	3000	"Ebstein's anomaly of tricuspid valve"	204357006
491	511571000000110	"7909.11"	40	"Repair of defect of unspecified septum of heart"	77371000
557	67081000006119	"G362.00"	60	"Ventricular septal defect as current complication following acute myocardial infarction"	233846000
440	355741000000117	"790N000"	100	"Relief of right ventricular outflow tract obstruction"	223301000000106
796	5332341000006117	" "	2	"Pulmonary atresia with absent pulmonary artery"	253625004
790	7806081000006118	" "	2	"Cardiomyopathy and renal anomaly syndrome"	720610008
149	313302010	"P54z.00"	3000	"Ventricular septal defect NOS"	30288003
162	299603011	"G130.00"	3000	"Mitral and aortic stenosis"	194733006
606	3706511000006111	" "	10	"Anomalous origin of coronary artery from pulmonary trunk"	74218008
107	357761000000111	"7904300"	500	"Atrial switch and arterial switch"	426902005
711	229601000006112	"P74z.11"	1	"Persistent left posterior cardinal vein"	38385001
309	271502016	"7A18300"	200	"Release of vascular ring of aorta"	175341006
771	4042771000006116	" "	6	"Muscular ventricular septal defect"	94706008
674	377722014	"P711.13"	10	"Preductal aortic stenosis"	253672004
485	313473017	"P722.00"	70	"Atresia and stenosis of aorta"	204431007
70	75422012	"P72z111"	600	"Congenital dilatation of aorta"	45237002
547	357281000000112	"790L.00"	80	"Transluminal closure of defect of septum"	224071000000102
255	488351000006119	"P721.00"	1000	"Abnormality of aortic arch"	448742006
657	3378561000006116	" "	50	"Sinus of Valsalva aneurysm"	54160000
200	313450013	"P710.00"	600	"Congenital hypoplasia of aortic arch"	60787001
591	1235697018	"P651.00"	20	"Fused commissure of the mitral valve"	91634006
331	271054019	"791A000"	30	"Infundibulectomy of heart using patch"	174995004
626	3807421000006119	" "	2	"Maladie de Roger"	80387009
697	313377017	"P653.00"	1	"Supernumerary cusps of the mitral valve"	204363002
651	4013611000006117	" "	3	"Congenital atresia of inferior vena cava"	93031005
640	2684861000006115	" "	1	"Congenital pulmonary vein stenosis"	11614003
481	376661000000117	"791Cz00"	60	"Operations on aortic root NOS"	232816009
354	313425010	"P6yy700"	200	"Atresia of heart valve NEC"	13213009
603	20181000006111	"793y.00"	20	"Other parts of heart or pericardium operations OS"	78418002
671	377731014	"P712.11"	2	"Postductal hypoplasia of aorta"	253680006
42	1234383014	"G110.00"	40000	"Mitral stenosis"	79619009
679	4824861000006114	" "	1	"Subvalvular stenosis"	204368006
601	313332019	"P56zz00"	3	"Endocardial cushion defects NOS"	15459006
226	2478440016	"PKyG.11"	300	"Ohdo blepharophimosis syndrome"	412787009
466	92274014	"P6y1.00"	300	"Cor triatriatum"	55510008
245	271312012	"79z..00"	2000	"Heart operations NOS"	64915003
385	313352018	"P601000"	100	"Hypoplasia of pulmonary valve"	204343009
493	2675458018	"790M.00"	40	"Repair of univentricular heart"	425654008
446	313364014	"P60zz00"	70	"Other pulmonary valve anomaly NOS"	204339005
750	3468611000006118	" "	2	"Anomalous pulmonary venous drainage"	59631007
321	299987012	"G541011"	90	"Aortic insufficiency, non-rheumatic"	194983005
240	497741000006115	"P74z800"	200	"Atresia of pulmonary vein"	204467000
433	299621014	"G140300"	200	"Tricuspid stenosis, cause unspecified"	49915006
575	2987731000006110	" "	40	"VSD - Ventricular septal defect"	30288003
716	2918441000006112	" "	10	"Transposition of the great arteries"	26146002
360	1587361000006112	"7908611"	60	"Repair interventricular septal defect us intraop trans pros"	428818006
340	377524013	"P6y3100"	400	"Right ventricular outflow tract obstruction"	253530007
0	1232103019	"G541500"	300000	"Aortic valve stenosis"	60573004
329	465641000000110	"7906411"	200	"Primary repair of defect of atrioventricular septum NEC"	174836000
39	299984017	"G540z00"	5000	"Mitral valve disorder"	11851006
62	580501000006119	"P63..00"	10000	"Congenital stenosis of aortic valve"	18546004
410	2675432018	"790N100"	40	"Repair of double chambered right ventricle"	426911005
106	400806013	"P72..00"	800	"Other anomalies of aorta"	59877000
501	583661000006114	"P7X..00"	200	"Congenital malformation of great arteries, unspecified"	271573009
87	1232445010	"PKy4.00"	4000	"William syndrome"	63247009
619	2675456019	"790K.00"	40	"Repair of double outlet ventricle"	427318004
338	377172018	"P5...12"	400	"Congenital heart disease, septal and bulbar anomalies"	253264007
82	22613011	"P68..00"	8000	"Congenital heart disease"	13213009
692	270868017	"790Cz00"	9	"Therapeutic transluminal operation on septum of heart NOS"	265469000
277	788771000006118	"P734.00"	300	"Hypoplasia of the pulmonary artery"	54682008
597	313374012	"P64z.00"	40	"Congenital aortic valve insufficiency NOS"	28656008
756	5330891000006115	" "	3	"Congenital abnormality of ventricles and ventricular septum"	253511007
413	377121000000116	"7908500"	50	"Closure of multiple interventricular septal defects"	428759006
487	315548017	"PK34.00"	40	"Situs inversus with levocardia"	205769006
676	313278012	"P511000"	10	"Double outlet right ventricle, unspecified"	7484005
96	574801000006118	"P50..00"	40	"Common aorto-pulmonary trunk"	17024001
789	574811000006115	"P50z.00"	2	"Common aorto-pulmonary trunk NOS"	17024001
137	484151000000118	"793My00"	30	"Other specified therapeutic transluminal operations on heart"	118797008
792	7519871000006119	" "	1	"Ohdo syndrome, Say-Barber-Biesecker-Young-Simpson variant"	699298009
404	313485013	"P722z00"	100	"Atresia or stenosis of aorta NOS"	204431007
267	313428012	"P6yyA00"	10	"Hemicardia"	204399007
602	270891018	"790F.00"	20	"Refashioning of atrium"	174898001
33	374171016	"G71A.00"	10000	"Aortic root dilatation"	251036003
420	271020015	"7917.11"	200	"Closed heart valvotomy"	174973003
68	827091000006113	"PKy7100"	600	"Holt - Oram syndrome"	19092004
722	7301681000006116	" "	1	"Left superior caval vein (SVC) persisting to coronary sinus"	445027003
50	515251000006113	"790B011"	200	"Blalock creation of defect in atrial septum"	48268004
623	270853018	"790Ay00"	20	"Other specified other open operation on septum of heart"	77371000
441	498091000006111	"G56y100"	100	"Atrioventricular dissociation"	27885002
205	299615010	"G14..00"	80	"Other chronic rheumatic endocardial disease"	46165000
503	7303961000006115	" "	1	"Congenital dilation of ascending aorta"	445176007
608	595701000006118	"P6y4300"	20	"Coronary artery from pulmonary trunk"	74218008
401	126391000006118	"P74z300"	200	"Stenosis of superior vena cava"	45492009
342	377639017	"P72..11"	300	"Anomalies of the aorta excluding coarction"	253615009
127	313356015	"P602z00"	2000	"Congenital stenosis of pulmonary valve"	67278007
662	400804011	"P6yyD00"	6	"Fusion of heart valve cusps NEC"	13213009
585	3610161000006113	" "	10	"PAPVD - Partial anomalous pulmonary venous drainage"	68237008
560	313387018	"P6y3.00"	30	"Obstructive heart anomaly NEC"	13213009
326	270831015	"7907y00"	200	"Other specified closure of defect of interatrial septum"	233037005
35	193911000006111	"G543300"	10000	"Pulmonic valve stenosis"	56786000
328	2478795011	"P721211"	200	"Vascular ring"	66403007
578	511561000000115	"7908z11"	8	"Repair of defect of interventricular septum NOS"	52930005
607	1228441015	"P611.00"	50	"Congenital tricuspid stenosis"	36233006
659	377169013	"P6yyD11"	20	"Fusion of tricuspid valve cusps NEC"	13213009
5	460645013	"ZV42100"	5000	"[V]Heart transplanted"	161666008
327	581341000006116	"P6y4411"	400	"Congenital coronary arterio-venous fistula"	253720000
798	5095461000006114	" "	2	"Prune belly syndrome with pulmonic stenosis, mental retardation and deafness"	236529001
167	58851000006111	"7A04211"	50	"Waterson anastomosis ascending aorta to right pulmonary art"	34564005
653	884131000006114	"G23..99"	30	"Hypertensive renal + heart dis"	86234004
616	313427019	"P6yy900"	20	"Congenital epicardial cyst"	204398004
319	313353011	"P601z00"	200	"Congenital atresia of pulmonary valve"	204342004
302	270768010	"7900z00"	80	"Transplantation of heart and lung NOS"	174802006
187	394270015	"790..00"	500	"Heart wall, septum and chamber operations"	265466007
363	313524011	"P74z000"	60	"Absence of inferior vena cava"	204463001
232	2675440012	"7A18600"	400	"Repair of interrupted aortic arch"	426869003
260	588751000006110	"P610.00"	1000	"Tricuspid atresia"	63042009
511	270854012	"790Az00"	40	"Other open operation on septum of heart NOS"	77371000
733	5331661000006119	" "	2	"Muscular ventricular septal defect in apical trabecular septum"	253565007
297	270843019	"7909300"	1000	"Primary repair of defect of atrioventricular septum"	447748008
215	270952010	"7911z00"	1000	"Plastic repair of aortic valve NOS"	265473002
730	5057571000006117	" "	1	"Cardiac transplant rejection"	233933006
235	80189019	"P6yy200"	200	"Congenital cardiomegaly"	48121000
234	297491000006116	"G542X00"	30	"Nonrheumatic tricuspid valve disorder, unspecified"	194989009
768	313329017	"P560.00"	2	"Endocardial cushion defects, unspecified"	15459006
244	133392011	"P545.00"	200	"Roger's disease"	80387009
703	968201000006114	"PKyG.00"	9	"Mental retardation, congenital heart disease, blepharophimosis, blepharoptosis and hypoplastic teeth"	412787009
550	313282014	"P511z00"	30	"Double outlet right ventricle NOS"	7484005
747	2959001000006118	" "	20	"Congenital anomaly of coronary artery"	28574005
290	1546441000006110	"7908600"	90	"Closure of defect of interventricular septum using intraoperative transluminal prosthesis"	428818006
717	5329491000006110	" "	2	"Atrioventricular septal defect - isolated ventricular component"	253415001
58	37921000006114	"P72zz00"	300	"Other anomaly of aorta NOS"	59877000
379	571261000006119	"P733.00"	80	"Coarctation of pulmonary artery"	26780008
762	3902031000006117	" "	1	"Cardiorenal disease"	86234004
258	270778013	"7901z00"	800	"Other transplantation of heart NOS"	32413006
453	28030016	"P6y6200"	200	"Mesocardia"	16567006
155	299609010	"G132.00"	500	"Mitral insufficiency and aortic stenosis"	194735004
269	377190017	"P5...13"	600	"Heart septal defects"	253273004
495	384121000000119	"790My00"	10	"Other specified repair of univentricular heart"	425654008
772	4194021000006112	" "	6	"Right aortic arch"	111321007
536	313368012	"P61z.00"	80	"Congenital tricuspid atresia or stenosis NOS"	36233006
439	270966017	"7912500"	100	"Tricuspid valvuloplasty NEC"	384643000
532	752431000006116	"P6y6111"	10	"Laevocardia"	205769006
334	313515019	"P741z00"	200	"Total anomalous pulmonary venous return"	111323005
48	313505013	"P738.00"	1000	"Atresia of pulmonary artery with septal defect"	204448004
474	271408019	"7A0z.00"	30	"Great vessel and pulmonary artery operations NOS"	265488007
414	270904017	"790G100"	200	"Atrioplasty"	69220007
577	377194014	"P56z011"	20	"Cor triloculare biventriculare"	253276007
185	299591014	"G112.00"	3000	"Mitral stenosis with insufficiency"	194726006
287	580971000006117	"L185.00"	50	"Congenital cardiovascular disorders during pregnancy, childbirth and the puerperium"	267207004
335	271043012	"7919000"	80	"Percutaneous transluminal mitral valvotomy"	174987003
795	377550012	" "	1	"Left ventricular outflow tract obstruction"	253546004
262	741681000006111	"G21z100"	500	"Hypertensive heart disease NOS with CCF"	64715009
89	271005014	"7916.11"	500	"Open heart valvotomy"	174966008
92	299607012	"G132.12"	200	"Mitral incompetence and aortic stenosis"	194735004
686	3863451000006115	" "	4	"Discordant ventriculoarterial connection with discordant atrioventricular connection"	83799000
545	260391000006110	"790A000"	40	"Open enlargement of defect of atrial septum"	174866007
324	559821000006113	"7906100"	100	"Close defect atrioventric septum using prosthetic patch NEC"	174836000
93	270817015	"7906.11"	800	"Repair of defect of the atrioventricular septum"	174836000
4	582721000006116	"P6z..00"	8000	"Congenital heart anomaly NOS"	13213009
99	271010013	"7916000"	2000	"Open mitral valvotomy"	174967004
196	300010011	"G543311"	2000	"Pulmonary stenosis, cause unspecified"	56786000
224	313486014	"P72z.00"	200	"Other anomalies of aorta NOS"	59877000
534	63468011	"P74z400"	3	"Persistent left posterior cardinal vein"	38385001
583	313293011	"P521.00"	40	"Pentalogy of Fallot"	204306007
122	29949011	"P561.00"	300	"Ostium primum defect"	17718000
675	102980010	"P502.00"	50	"Persistent truncus arteriosus"	61959006
32	299992014	"G541z00"	9000	"Aortic valve disorder"	8722008
115	299630018	"G1y..00"	400	"Other specified chronic rheumatic heart disease"	87648004
195	1587661000006116	"7A0A600"	100	"Percut transluminal balloon angioplasty pulmonary artery NEC"	425979008
3	81193017	"G540.16"	200000	"Mitral regurgitation"	48724000
46	143123019	"P52..00"	20000	"Tetralogy of Fallot"	86299006
263	410951015	"790..11"	200	"Heart atria and ventricle operations"	275028003
773	5330581000006116	" "	1	"Left atrioventricular valve dysplasia"	253486005
192	2536641017	"7912.12"	100	"Tricuspid valvuloplasty"	384643000
645	483059013	"P6z1000"	10	"Anomalous atrial bands"	2583009
584	2675832010	"7902500"	40	"Repair of tetralogy of Fallot with absent pulmonary valve"	425785006
199	313382012	"P6y0.00"	2000	"Subaortic stenosis"	204368006
341	488481000006118	"P50..11"	60	"Aortic septal defect"	17024001
259	313301015	"P54y.00"	1000	"Other specified ventricular septal defect"	30288003
468	394273018	"790C.00"	60	"Therapeutic transluminal operations on septum of heart"	265469000
553	106259013	"P721700"	20	"Overriding aorta"	63934006
727	2540071000006110	" "	2	"Chiari's network"	2583009
45	271386017	"7A08y00"	100	"Other specified repair of pulmonary artery"	175253007
241	2475972010	"P56z000"	80	"Common atrium"	253276007
714	213101000006114	"L128100"	1	"Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium"	199007008
182	313296015	"P540.00"	2000	"Ventricular septal defect, unspecified"	30288003
