	MedCodeId	CleansedReadCode	Observations	Term	SnomedCTConceptId
78	301455018	H312z00	300	Obstructive chronic bronchitis NOS	185086009
44	9337016	H321.00	300	Panlobular emphysema	4981000
37	396110016	H32yz00	300	Other emphysema NOS	87433001
74	301464011	H320100	200	Zonal bullous emphysema	195959009
53	396108018	H320300	200	Bullous emphysema with collapse	266355005
68	130626012	H441.00	200	Cannabinosis	78723001
104	4781431000006114	 	200	Acute exacerbation of chronic obstructive pulmonary disease	195951007
81	506053014	H311000	200	Purulent chronic bronchitis	84409004
82	301836011	Hyu3100	200	[X]Other specified chronic obstructive pulmonary disease	13645005
73	27096010	H320200	200	Giant bullous emphysema	16003001
95	301444018	H310z00	100	Simple chronic bronchitis NOS	61937009
87	457581000006111	H32y111	100	Acute interstitial emphysema	77690003
96	87480013	H31y100	100	Chronic tracheobronchitis	52571006
99	301448015	H311z00	100	Mucopurulent chronic bronchitis NOS	74417001
72	3228301000006115	 	100	Unilateral emphysema	45145000
85	6213641000006118	 	90	Chronic mucus hypersecretion	360470001
83	1772931000006114	 	80	Desquamative interstitial pneumonia	8549006
77	301572010	H464000	80	Chronic emphysema due to chemical fumes	196026004
84	55602016	H582.00	50	Compensatory emphysema	33325001
119	3013801000006116	 	50	Paraseptal emphysema	31898008
62	301457014	H31y.00	50	Other chronic bronchitis	63480004
60	8439091000006119	 	40	Chronic obstructive pulmonary disease monitoring email invitation	1066231000000103
100	1222334016	H3y..11	40	Other specified chronic obstructive pulmonary disease	13645005
98	301456017	H313.00	40	Mixed simple and mucopurulent chronic bronchitis	195953005
86	2716261000006117	 	30	Chronic airflow obstruction	13645005
80	301458016	H31yz00	30	Other chronic bronchitis NOS	63480004
122	8235101000006114	 	20	COPD (chronic obstructive pulmonary disease) 3 monthly review	760601000000107
121	8235131000006118	 	20	COPD (chronic obstructive pulmonary disease) 6 monthly review	760621000000103
64	3611791000006110	 	20	Centriacinar emphysema	68328006
115	7627151000006113	 	10	CPFE - combined pulmonary fibrosis and emphysema	708030004
109	301470017	H32y000	10	Acute vesicular emphysema	195963002
89	5053671000006110	 	10	Acquired bronchiectasis	233628009
113	3921361000006112	 	10	Emphysema of lung	87433001
110	2716241000006116	 	10	Chronic airway obstruction	13645005
105	139979010	H311100	10	Fetid chronic bronchitis	84409004
93	2716301000006114	 	10	Chronic airflow limitation	13645005
123	2867041000006113	 	8	Post-tuberculous bronchiectasis	23022004
103	2716341000006111	 	8	Chronic airway disease	13645005
107	8090191000006114	 	7	Acute exacerbation of chronic obstructive bronchitis	293241000119100
92	396109014	H32y100	7	Atrophic (senile) emphysema	266356006
120	3228331000006111	 	6	Swyer-James syndrome	45145000
106	4781461000006117	 	5	Emphysematous bulla	195957006
125	5054311000006111	 	5	Scar emphysema	233677001
102	4781471000006112	 	5	Bullous emphysema	195957006
116	3589231000006114	 	5	Congenital lobar emphysema	66987001
117	3764021000006117	 	4	Interstitial emphysema of lung	77690003
111	6763251000006114	 	3	Emergency hospital admission for COPD (chronic obstructive pulmonary disease)	408501008
90	4733031000006114	 	2	Chronic obstructive bronchitis	185086009
94	3873191000006110	 	2	Fetid chronic bronchitis	84409004
114	161781000006116	H32yz11	2	Sawyer - Jones syndrome	45145000
108	3437401000006110	 	2	Emphysematous bleb of lung	57686001
118	4374681000006116	 	1	Chronic emphysema	125295001
112	2545391000006116	 	1	Cystic-bullous disease of the lung	2912004
124	3013821000006114	 	1	Subpleural emphysema	31898008
126	4510801000006114	 	1	End stage chronic obstructive pulmonary disease	135836000
127	5054301000006113	 	1	Chemical emphysema	233675009
128	2716271000006112	 	1	CAFL - Chronic airflow limitation	13645005
